City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Lincroft,NJ,Brookdale Community College,ARCH245 + ARCH246,History Of Architecture: Pre-Historic To Gothic + History Of Architecture: Renaissance Through The 19Th Century,ARCH 4100,An Architectural Genealogy,,,,Brookdale Community College
Chicago,IL,Illinois Institute Of Technology,AAH 119 + AAH 120,History Of World Architecture I (Variable) + History Of World Architecture II (Variable),ARCH 4100,An Architectural Genealogy,,,,Illinois Institute Of Technology Undergraduate
Chicago,IL,Illinois Institute Of Technology,AAH 120,History Of World Architecture II (Variable),ARCH 4100 + ARCH 4100,An Architectural Genealogy + An Architectural Genealogy,,,,Illinois Institute Of Technology Undergraduate
Chicago,IL,Illinois Institute Of Technology,AAH 120,History Of World Architecture II (Variable),ARCH 4100 + ARCH 4100,An Architectural Genealogy + An Architectural Genealogy,,,,Illinois Institute Of Technology Undergraduate
Miami,FL,Miami Dade College,ARC2701,History Of Architecture 1,ARCH 4100,An Architectural Genealogy,,,,Miami Dade College
Bethlehem,PA,Northampton County Area Community College,ARCH 100,Architectural History I - Antiquity To 1870,ARCH 4100,An Architectural Genealogy,,,,Northampton Community College
Tannersville,PA,Northampton County Area Community College-Monroe,ARCH 100,Architectural History I - Antiquity To 1870,ARCH 4100,An Architectural Genealogy,,,,Northampton Community College
Costa Mesa,CA,Orange Coast College,ARCH A290H + ARCH A296H,History Of Architecture 1 Honors + History Of Architecture 2 Honors,ARCH 4100,An Architectural Genealogy,,,,Orange Coast College
Pasadena,CA,Pasadena City College,ARCH 024A,History Of Architecture – Prehistory To Late Medieval,ARCH 4100,An Architectural Genealogy,,,,Pasadena City College
Bristol,RI,Roger Williams University,AAH 121,History Of Art And Architecture I,ARCH 4100,An Architectural Genealogy,,,,Roger Williams University
Bristol,RI,Roger Williams University School Of Law,AAH 121,History Of Art And Architecture I,ARCH 4100,An Architectural Genealogy,,,,Roger Williams University
Suffern,NY,Suny Rockland Community College,ART 119 + ART 120,History Of Art I + History Of Art II,ARCH 4100 + ARTS 1000 + ARTS 1050,An Architectural Genealogy + Arts Elective + Art History,,,,SUNY Rockland Community College
Austin,TX,The University Of Texas At Austin,ARC 318K,World Architecture: Origins To 1750,ARCH 4100,An Architectural Genealogy,,,,University Of Texas At Austin General Information
Boulder,CO,University Of Colorado At Boulder,ENVD 1024,History Of The Built Environment,ARCH 4100,An Architectural Genealogy,,,,University Of Colorado At Boulder
Saratoga,CA,West Valley College,ARCH 046,History Of Architecture,ARCH 4100,An Architectural Genealogy,,,,West Valley College
