City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Chestnut Hill,MA,Boston College,MUSA1100,Fundamentals Of Music Theory,ARTS 1380,Fundamentals Of Music And Sound,,,,Boston College
New York,NY,Cuny Borough Of Manhattan Community College,MUS 105,Exploring Music,ARTS 1380,Fundamentals Of Music And Sound,,,,CUNY Borough Of Manhattan Community College
Lynnwood,WA,Edmonds College,MUSC 101,Music Fundamentals I,ARTS 1380,Fundamentals Of Music And Sound,,,,Edmonds College
Middletown,PA,Pennsylvania State Univ-Harrisburg Capital College,INART 50,The Science Of Music,ARTS 1380,Fundamentals Of Music And Sound,ATS 1380 (3cr),05/01/2023,05/01/2026,Pennsylvania State University Undergraduate
Center Valley,PA,Pennsylvania State Univ-Lehigh Vly Berks-Lehigh,INART 50,The Science Of Music,ARTS 1380,Fundamentals Of Music And Sound,ATS 1380 (3cr),05/01/2023,05/01/2026,Pennsylvania State University Undergraduate
Schuylkill Haven,PA,Pennsylvania State Univ-Schuylkill-Capital College,INART 50,The Science Of Music,ARTS 1380,Fundamentals Of Music And Sound,ATS 1380 (3cr),05/01/2023,05/01/2026,Pennsylvania State University Undergraduate
Abington,PA,Pennsylvania State University-Abington College,INART 50,The Science Of Music,ARTS 1380,Fundamentals Of Music And Sound,ATS 1380 (3cr),05/01/2023,05/01/2026,Pennsylvania State University Undergraduate
Altoona,PA,Pennsylvania State University-Altoona College,INART 50,The Science Of Music,ARTS 1380,Fundamentals Of Music And Sound,ATS 1380 (3cr),05/01/2023,05/01/2026,Pennsylvania State University Undergraduate
Monaca,PA,Pennsylvania State University-Beaver,INART 50,The Science Of Music,ARTS 1380,Fundamentals Of Music And Sound,ATS 1380 (3cr),05/01/2023,05/01/2026,Pennsylvania State University Undergraduate
Reading,PA,Pennsylvania State University-Berks-Lehigh Valley,INART 50,The Science Of Music,ARTS 1380,Fundamentals Of Music And Sound,ATS 1380 (3cr),05/01/2023,05/01/2026,Pennsylvania State University Undergraduate
Media,PA,Pennsylvania State University-Delaware,INART 50,The Science Of Music,ARTS 1380,Fundamentals Of Music And Sound,ATS 1380 (3cr),05/01/2023,05/01/2026,Pennsylvania State University Undergraduate
Dubois,PA,Pennsylvania State University-Du Bois,INART 50,The Science Of Music,ARTS 1380,Fundamentals Of Music And Sound,ATS 1380 (3cr),05/01/2023,05/01/2026,Pennsylvania State University Undergraduate
Erie,PA,Pennsylvania State University-Erie Behrend College,INART 50,The Science Of Music,ARTS 1380,Fundamentals Of Music And Sound,ATS 1380 (3cr),05/01/2023,05/01/2026,Pennsylvania State University Undergraduate
Lemont Furnace,PA,Pennsylvania State University-Fayette,INART 50,The Science Of Music,ARTS 1380,Fundamentals Of Music And Sound,ATS 1380 (3cr),05/01/2023,05/01/2026,Pennsylvania State University Undergraduate
Hazleton,PA,Pennsylvania State University-Hazleton,INART 50,The Science Of Music,ARTS 1380,Fundamentals Of Music And Sound,ATS 1380 (3cr),05/01/2023,05/01/2026,Pennsylvania State University Undergraduate
Mckeesport,PA,Pennsylvania State University-Mckeesport,INART 50,The Science Of Music,ARTS 1380,Fundamentals Of Music And Sound,ATS 1380 (3cr),05/01/2023,05/01/2026,Pennsylvania State University Undergraduate
Mont Alto,PA,Pennsylvania State University-Mont Alto Campus,INART 50,The Science Of Music,ARTS 1380,Fundamentals Of Music And Sound,ATS 1380 (3cr),05/01/2023,05/01/2026,Pennsylvania State University Undergraduate
Upper Burrell,PA,Pennsylvania State University-New Kensington,INART 50,The Science Of Music,ARTS 1380,Fundamentals Of Music And Sound,ATS 1380 (3cr),05/01/2023,05/01/2026,Pennsylvania State University Undergraduate
Malvern,PA,Pennsylvania State University-Penn State Great Valley,INART 50,The Science Of Music,ARTS 1380,Fundamentals Of Music And Sound,ATS 1380 (3cr),05/01/2023,05/01/2026,Pennsylvania State University Undergraduate
Sharon,PA,Pennsylvania State University-Shenango,INART 50,The Science Of Music,ARTS 1380,Fundamentals Of Music And Sound,ATS 1380 (3cr),05/01/2023,05/01/2026,Pennsylvania State University Undergraduate
Lehman,PA,Pennsylvania State University-Wilkes-Barre,INART 50,The Science Of Music,ARTS 1380,Fundamentals Of Music And Sound,ATS 1380 (3cr),05/01/2023,05/01/2026,Pennsylvania State University Undergraduate
University Park,PA,Pennsylvania State University-World Campus,INART 50,The Science Of Music,ARTS 1380,Fundamentals Of Music And Sound,ATS 1380 (3cr),05/01/2023,05/01/2026,Pennsylvania State University Undergraduate
Dunmore,PA,Pennsylvania State University-Worthington Scranton,INART 50,The Science Of Music,ARTS 1380,Fundamentals Of Music And Sound,ATS 1380 (3cr),05/01/2023,05/01/2026,Pennsylvania State University Undergraduate
York,PA,Pennsylvania State University-York,INART 50,The Science Of Music,ARTS 1380,Fundamentals Of Music And Sound,ATS 1380 (3cr),05/01/2023,05/01/2026,Pennsylvania State University Undergraduate
Schenectady,NY,Schenectady County Community College,MUS 121,The Enjoyment Of Music I,ARTS 1380,Fundamentals Of Music And Sound,,,,Schenectady County Community College
Stony Brook,NY,Stony Brook University,MUS 101,Introduction To Western Classical Music,ARTS 1380,Fundamentals Of Music And Sound,,,,SUNY Stony Brook Undergraduate Bulletin And Course Descriptions Spring
Fredonia,NY,Suny At Fredonia,MUS 115,Music Appreciation,ARTS 1380,Fundamentals Of Music And Sound,,,,SUNY Fredonia General
New Paltz,NY,Suny New Paltz,MUS109,Introduction To Music,ARTS 1380,Fundamentals Of Music And Sound,,,,SUNY New Paltz Undergraduate
Philadelphia,PA,Temple University,MUST 1761,Introduction To Music,ARTS 1380,Fundamentals Of Music And Sound,,,,Temple University Undergraduate
Albany,NY,The College Of Saint Rose,MUS 102,Music Theory II,ARTS 1380,Fundamentals Of Music And Sound,,,,College Of Saint Rose Undergraduate Studies
New York,NY,The Juilliard School,ETMUS 111 + ETMUS 112,Ear Training I + Ear Training I,ARTS 1380,Fundamentals Of Music And Sound,,,,Juilliard School
University Park,PA,The Pennsylvania State University,INART 50,The Science Of Music,ARTS 1380,Fundamentals Of Music And Sound,ATS 1380 (3cr),05/01/2023,05/01/2026,Pennsylvania State University Undergraduate
College Park,MD,University Of Maryland-College Park,MUSC140,Music Fundamentals I,ARTS 1380,Fundamentals Of Music And Sound,,,,University Of Maryland College Park Undergraduate
Dunedin, ,University Of Otago,MUSI 191,Introduction To Music,ARTS 1380,Fundamentals Of Music And Sound,,,,University Of Otago Undergraduate
Rochester,NY,University Of Rochester,MUR 110,Intro To Music Theory,ARTS 1380,Fundamentals Of Music And Sound,,,,University Of Rochester Fall Course Descriptions
Utica,NY,Utica University,MUS 115,Introduction To Music,ARTS 1380,Fundamentals Of Music And Sound,,,,Utica University Winter/Spring Undergraduate
Staten Island,NY,Wagner College,MU 101,Foundations Of Music Theory,ARTS 1380,Fundamentals Of Music And Sound,,,,Wagner College Undergraduate And Graduate
