City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Queensbury,NY,Adirondack Community College,AST 113,Introduction To Astronomy,ASTR 1000,Astronomy Elective,,,,SUNY Adirondack Community College
Alfred,NY,Alfred University,ASTR 107,Elementary Astronomy Lab,ASTR 1000,Astronomy Elective,,,,Alfred University
Sacramento,CA,American River College,ASTR 300,Introduction To Astronomy,ASTR 1000,Astronomy Elective,,,,American River College
Coon Rapids,MN,Anoka-Ramsey Community College,NATS 1001,Astronomy,ASTR 1000,Astronomy Elective,,,,Anoka-Ramsey Community College
Cambridge,MN,Anoka-Ramsey Community College-Cambridge Campus,NATS 1001,Astronomy,ASTR 1000,Astronomy Elective,,,,Anoka-Ramsey Community College
Annandale-On-Hudson,NY,Bard College,SCI 161,Astronomy,ASTR 1000,Astronomy Elective,,,,Bard College
Albion,NY,Bard College - Albion Correctional Facility,SCI 161,Astronomy,ASTR 1000,Astronomy Elective,,,,Bard College
New York,NY,Bard College - Bard Globalization And International Affairs Program,SCI 161,Astronomy,ASTR 1000,Astronomy Elective,,,,Bard College
Newark,NJ,Bard College - Bhsec Newark,SCI 161,Astronomy,ASTR 1000,Astronomy Elective,,,,Bard College
Brooklyn,NY,Bard College - Brooklyn Public Library,SCI 161,Astronomy,ASTR 1000,Astronomy Elective,,,,Bard College
Napanoch,NY,Bard College - Eastern Ny Correctional Facility,SCI 161,Astronomy,ASTR 1000,Astronomy Elective,,,,Bard College
Beacon,NY,Bard College - Fishkill Correctional Facility,SCI 161,Astronomy,ASTR 1000,Astronomy Elective,,,,Bard College
Stormville,NY,Bard College - Green Haven Correctional Facility,SCI 161,Astronomy,ASTR 1000,Astronomy Elective,,,,Bard College
Holyoke,MA,Bard College - Holyoke Microcollege,SCI 161,Astronomy,ASTR 1000,Astronomy Elective,,,,Bard College
Los Angeles,CA,Bard College - Mat Program Ca,SCI 161,Astronomy,ASTR 1000,Astronomy Elective,,,,Bard College
New York,NY,"Bard College - New York Public Library, Countee Cullen Branch",SCI 161,Astronomy,ASTR 1000,Astronomy Elective,,,,Bard College
Bedford Hill,NY,Bard College - Taconic Correctional Facility,SCI 161,Astronomy,ASTR 1000,Astronomy Elective,,,,Bard College
Woodbourne,NY,Bard College - Woodbourne Correctional Facility,SCI 161,Astronomy,ASTR 1000,Astronomy Elective,,,,Bard College
Fall River,MA,Bristol Community College,AST 112,"Introduction To Astronomy: Stars, Galaxies, And The Universe",ASTR 1000,Astronomy Elective,,,,Bristol Community College
Aptos,CA,Cabrillo College,ASTRO-4,"Stars, Galaxies & The Universe",ASTR 1000,Astronomy Elective,,,,Cabrillo College Course Descriptions
Redwood City,CA,Canada College,ASTR 100,Introduction To Astronomy,ASTR 1000,Astronomy Elective,,,,Canada College
Chandler,AZ,Chandler-Gilbert Community College,AST 101,Survey Of Astronomy,ASTR 1000,Astronomy Elective,,,,Maricopa County Community College District Course Descriptions
Waterville,ME,Colby College,AS151,"Stars, Stellar Systems, And Cosmology",ASTR 1000,Astronomy Elective,,,,Colby College
Santa Clarita,CA,College Of The Canyons,ASTRON 100,Astronomy Survey Of Our Universe,ASTR 1000,Astronomy Elective,ASTR 1000 (3cr),05/01/2023,05/01/2026,College Of The Canyons
Texas City,TX,College Of The Mainland,PHYS 1404,Solar System,ASTR 1000,Astronomy Elective,,,,College Of The Mainland
Colorado Springs,CO,Colorado College,PC133,Astronomy,ASTR 1000,Astronomy Elective,,,,Colorado College
Montpelier,VT,Community College Of Vermont,PHY 1110,Introduction To Astronomy,ASTR 1000,Astronomy Elective,,,,Community College Of Vermont
Ithaca,NY,Cornell University-Endowed Colleges,ASTRO 1106,"Relativity, Cosmology, And Black Holes",ASTR 1000,Astronomy Elective,,,,Cornell University
Randolph,NJ,County College Of Morris,SCI-106,Introduction To Astronomy,ASTR 1000,Astronomy Elective,,,,County College Of Morris
New York,NY,Cuny Borough Of Manhattan Community College,AST 110,General Astronomy,ASTR 1000,Astronomy Elective,,,,CUNY Borough Of Manhattan Community College
Bronx,NY,Cuny Bronx Community College,AST 11,Stellar Astronomy,ASTR 1000,Astronomy Elective,,,,CUNY Bronx Community College
New York,NY,Cuny City College,ASTR 30500,Methods In Astronomy,ASTR 1000,Astronomy Elective,,,,CUNY City College
New York,NY,Cuny Hunter College,ASTRO 10000,Basic Concepts In Astronomy,ASTR 1000,Astronomy Elective,,,,CUNY Hunter College Undergraduate
