City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Worcester,MA,Clark University,BCMB 271,Biochemistry I,BCBP 2000,Biochemistry And Biophysics Elective,,,,Clark University
New York,NY,Pace University-New York,CHE 326,Biochemistry,BCBP 2000,Biochemistry And Biophysics Elective,,,,Pace University Course Descriptions
Pleasantville,NY,Pace University-Pleasantville Briarcliff,CHE 326,Biochemistry,BCBP 2000,Biochemistry And Biophysics Elective,,,,Pace University Course Descriptions
White Plains,NY,Pace University-White Plains,CHE 326,Biochemistry,BCBP 2000,Biochemistry And Biophysics Elective,,,,Pace University Course Descriptions
Staten Island,NY,Saint John's University - Staten Island Campus,PHS 2201,Biopharmaceutical Chemistry/ Biotechnology,BCBP 2000,Biochemistry And Biophysics Elective,,,,St. Johns University
Staten Island,NY,Saint John's University - Staten Island Campus,PHS 2301,Biomedical Laboratory I,BCBP 2000,Biochemistry And Biophysics Elective,,,,St. Johns University
Staten Island,NY,Saint John's University - Staten Island Campus,PHS 3302,Biomedical Laboratory II (For Pharmacy Students),BCBP 2000,Biochemistry And Biophysics Elective,,,,St. Johns University
Queens,NY,St. John's University,PHS 2201,Biopharmaceutical Chemistry/ Biotechnology,BCBP 2000,Biochemistry And Biophysics Elective,,,,St. Johns University
Queens,NY,St. John's University,PHS 2301,Biomedical Laboratory I,BCBP 2000,Biochemistry And Biophysics Elective,,,,St. Johns University
Queens,NY,St. John's University,PHS 3302,Biomedical Laboratory II (For Pharmacy Students),BCBP 2000,Biochemistry And Biophysics Elective,,,,St. Johns University
