City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Queensbury,NY,Adirondack Community College,CHM 204,Organic Chemistry II,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,SUNY Adirondack Community College
Albany,NY,Albany College Of Pharmacy And Health Sciences,CHE 221,Organic Chemistry II,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,Albany College Of Pharmacy And Health Sciences
Annandale-On-Hudson,NY,Bard College,CHEM 202,Organic Chemistry II,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,Bard High School Early College Queens Spring
Great Barrington,MA,Bard College At Simon's Rock,CHEM 202,Organic Chemistry II,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,Bard High School Early College Queens Spring
Paramus,NJ,Bergen Community College,CHM-262,Organic Chemistry II,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,Bergen Community College
Waltham,MA,Brandeis University,CHEM 29b,Organic Chemistry Laboratory II,CHEM 2240,Organic Chemistry Laboratory II,,,,Brandeis University
Binghamton,NY,Broome Community College,CHM 246L,Organic Chemistry II Laboratory,CHEM 2240,Organic Chemistry Laboratory II,,,,SUNY Broome Community College
Boston,MA,Bunker Hill Community College,CHM-252,Organic Chemistry II And Lab,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,Bunker Hill Community College
Worcester,MA,Clark University,CHEM 132,Organic Chemistry In Depth,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,Clark University
Waterville,ME,Colby College,CH242,Organic Chemistry II,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,Colby College
Grayslake,IL,College Of Lake County,CHM 223,Organic Chemistry II,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,College Of Lake County
Twin Falls,ID,College Of Southern Idaho,CHEM 299 + CHEM 299L,Organic Chemistry 2 + Organic Chemistry 2 Lab,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,College Of Southern Idaho
Hudson,NY,Columbia-Greene Community College,CH 202,Organic Chemistry II,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,Columbia-Greene Community College
Baltimore,MD,Community College Of Baltimore County,CHEM 202 + CHEM 203,Organic Chemistry II + Organic Chemistry II Laboratory,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,Community College Of Baltimore County
Ithaca,NY,Cornell University-Endowed Colleges,CHEM 252,Elementary Experimental Organic Chemistry,CHEM 2240,Organic Chemistry Laboratory II,,,,Cornell University
Corning,NY,Corning Community College,CHEM 2020,Organic Chemistry II,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,Corning Community College
Randolph,NJ,County College Of Morris,CHM-234,Organic Chemistry II - Laboratory,CHEM 2240,Organic Chemistry Laboratory II,,,,County College Of Morris
Bronx,NY,Cuny Bronx Community College,CHM 32,Organic Chemistry II,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,CUNY Bronx Community College
Brooklyn,NY,Cuny New York City College Of Technology,CHEM 2323,Organic Chemistry II,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,CUNY New York City College Of Technology Fall
Bayside,NY,Cuny Queensborough Community College,CH252,Organic Chemistry II,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,CUNY Queensborough Community College
Daytona Beach,FL,Daytona State College,CHM2211 + CHM2211L,Organic Chemistry II + Organic Chemistry II Lab,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,Daytona State College
Pleasant Hill,CA,Diablo Valley College,CHEM-227,Organic Chemistry II,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,Diablo Valley College
Poughkeepsie,NY,Dutchess Community College,CHE232,Organic Chemistry II,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,Dutchess Community College
Richmond,IN,Earlham College,CHEM 321,Organic Chemistry II,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,Earlham College Curriculum Guide
Wroxton, ,Fairleigh Dickinson University - Wroxton,CHEM2264,Organic Chemistry Laboratory II,CHEM 2240,Organic Chemistry Laboratory II,,,,Fairleigh Dickinson University Undergraduate
Madison,NJ,Fairleigh Dickinson University-Florham Campus,CHEM2264,Organic Chemistry Laboratory II,CHEM 2240,Organic Chemistry Laboratory II,,,,Fairleigh Dickinson University Undergraduate
Teaneck,NJ,Fairleigh Dickinson University-Metropolitan Campus,CHEM2264,Organic Chemistry Laboratory II,CHEM 2240,Organic Chemistry Laboratory II,,,,Fairleigh Dickinson University Undergraduate
Bronx,NY,Fordham University,CHEM 2522 + CHEM 2532,Organic Chemistry II + Organic Chemistry Lab II For Chem Majors,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,Fordham University
Batavia,NY,Genesee Community College,CHE202,Organic Chemistry 2,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,Genesee Community College
Clinton,NY,Hamilton College,CHEM 255,Organic Chemistry II,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,Hamilton College
Bel Air,MD,Harford Community College,CHEM 208,Organic Chemistry II,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,Harford Community College
Columbia,MD,Howard Community College,CHEM 202,Organic Chemistry II,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,Howard Community College
Troy,NY,Hudson Valley Community College,CHEM 211,Organic Chemistry II,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,09/01/2023,09/01/2026,Hudson Valley Community College
