City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Potsdam,NY,Clarkson University,EM 313,Professional Communication,COMM 4000,Communication Elective,,,,Clarkson University Course Descriptions
Schenectady,NY,Clarkson University Capital Region Campus,EM 313,Professional Communication,COMM 4000,Communication Elective,,,,Clarkson University Course Descriptions
Waterville,ME,Colby College,EN474,Public Speaking,COMM 4000,Communication Elective,,,,Colby College
Wooster,OH,College Of Wooster,IDPT 39800,Teaching Apprenticeship,COMM 4000,Communication Elective,,,,College Of Wooster
Miami,FL,Florida International University,COM 3110,Business And Professional Communication,COMM 4000,Communication Elective,,,,Florida International University Undergraduate
Miami,FL,Florida International University,COM 3120,Organizational Communication,COMM 4000,Communication Elective,,,,Florida International University Undergraduate
Miami,FL,Florida International University,COM 3461,Intercultural/Interracial Communication,COMM 4000,Communication Elective,,,,Florida International University Undergraduate
Miami,FL,Florida International University,COM 4620,Ethical Communication,COMM 4000,Communication Elective,,,,Florida International University Undergraduate
Ames,IA,Iowa State University,COMST 310,Intercultural Communication,COMM 4000,Communication Elective,,,,Iowa State University
Ames,IA,Iowa State University,JL MC 321,Public Relations Writing,COMM 4000,Communication Elective,,,,Iowa State University
Ames,IA,Iowa State University,JL MC 349,News And Feature Editing,COMM 4000,Communication Elective,,,,Iowa State University
Ames,IA,Iowa State University,JL MC 401,Mass Communication Theory,COMM 4000,Communication Elective,,,,Iowa State University
Ames,IA,Iowa State University,JL MC 424,Public Relations Campaigns,COMM 4000,Communication Elective,,,,Iowa State University
Ames,IA,Iowa State University,JL MC 460,Law Of Mass Communication,COMM 4000,Communication Elective,,,,Iowa State University
Hamilton,OH,Miami University-Hamilton,FST 362,Mafia And Cinema,COMM 4000,Communication Elective,,,,Miami University
Middletown,OH,Miami University-Middletown,FST 362,Mafia And Cinema,COMM 4000,Communication Elective,,,,Miami University
Oxford,OH,Miami University-Oxford,FST 362,Mafia And Cinema,COMM 4000,Communication Elective,,,,Miami University
Atlanta,GA,Morehouse College,HCOM 351,Professional Communications,COMM 4000,Communication Elective,,,,Morehouse College Course Descriptions
New York,NY,New York University,OART-UT 1006,Producing Essentials,COMM 4000,Communication Elective,,,,New York University Tisch School Of The Arts
Oswego,NY,Suny College At Oswego,ENG 380,Narratives Of Identity,COMM 4000,Communication Elective,,,,SUNY Oswego Undergraduate
Delhi,NY,Suny College Of Technology At Delhi,CITA 365,Multimedia Publishing & Design,COMM 4000,Communication Elective,,,,SUNY Delhi College Of Technology
Saratoga Springs,NY,Suny Empire State University,CUL-223424,Communication Through New Media,COMM 4000,Communication Elective,,,,SUNY Empire State College Undergraduate
New Paltz,NY,Suny New Paltz,CMM432,Television In American Culture,COMM 4000,Communication Elective,,,,SUNY New Paltz Undergraduate
Pittsburgh,PA,The Art Institute Of Pittsburgh,IND213,Graphic Symbolism And Typography,COMM 4000,Communication Elective,,,,Art Institute Of Pittsburgh
Pittsburgh,PA,The Art Institute Of Pittsburgh-Online Division,IND213,Graphic Symbolism And Typography,COMM 4000,Communication Elective,,,,Art Institute Of Pittsburgh
New Orleans,LA,Tulane University,MCOM 335,Management Communications,COMM 4000,Communication Elective,,,,Tulane University Undergraduate Catalog
Buffalo,NY,"University At Buffalo, State University Of New York",COM 492,Special Topics In Mass Communication,COMM 4000,Communication Elective,,,,SUNY University At Buffalo Undergraduate
Leeds, ,University Of Leeds,COMM3120,Film Theory And Aesthetics,COMM 4000,Communication Elective,,,,University Of Leeds Undergraduate Modules
Leeds, ,University Of Leeds,DESN2640,Design Theory 2,COMM 4000,Communication Elective,,,,University Of Leeds Undergraduate Modules
Leeds, ,University Of Leeds,DESN2980,Design Application,COMM 4000,Communication Elective,,,,University Of Leeds Undergraduate Modules
Leeds, ,University Of Leeds,DESN2989,Graphic And Communication Media B,COMM 4000,Communication Elective,,,,University Of Leeds Undergraduate Modules
Columbia,SC,University Of South Carolina Columbia,JOUR 303,Law And Ethics Of Mass Communications,COMM 4000,Communication Elective,,,,University Of South Carolina At Columbia Undergraduate
Madison,WI,University Of Wisconsin-Madison,ENGL 360,The Anglo-Saxons,COMM 4000,Communication Elective,,,,University Of Wisconsin Madison Course Descriptions
