City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Beirut, ,American University Of Beirut,EECE 231,Introduction To Computation And Programming With Applications,CSCI 1190 + ENGR 2000,Beginning Programming For Engineers + Engineering Elective,,,,American University Of Beirut Undergraduate
Auburn University,AL,Auburn University,COMP 1200,Introduction To Computing For Engineers And Scientists,CSCI 1190,Beginning Programming For Engineers,,,,Auburn University
Bakersfield,CA,Bakersfield College,ENGR 19P,"Computer Programming For Science, Engineering And Technology",CSCI 1190,Beginning Programming For Engineers,,,,Bakersfield College
Auburn,NY,Cayuga Community College,CS 222,Programming In C/C++,CSCI 1190,Beginning Programming For Engineers,,,,Cayuga Community College
San Francisco,CA,City College Of San Francisco,CS 110B,Programming Fundamentals: C++,CSCI 1100 + CSCI 1190,Computer Science I + Beginning Programming For Engineers,,,,City College Of San Francisco
Potsdam,NY,Clarkson University,ES 100,Introduction To Engineering Use Of The Computer,CSCI 1190,Beginning Programming For Engineers,,,,Clarkson University Course Descriptions
Schenectady,NY,Clarkson University Capital Region Campus,ES 100,Introduction To Engineering Use Of The Computer,CSCI 1190,Beginning Programming For Engineers,,,,Clarkson University Course Descriptions
Neosho,MO,Crowder College,COMP 101,Introduction To Computer Science,CSCI 1190,Beginning Programming For Engineers,,,,Crowder College
Media,PA,Delaware County Community College,DPR 108,Introduction To Computer Science,CSCI 1190,Beginning Programming For Engineers,,,,Delaware County Community College
Canandaigua,NY,Finger Lakes Community College,CSC 172,Computer Programming For Engineering,CSCI 1190,Beginning Programming For Engineers,,,,Finger Lakes Community College
Boca Raton,FL,Florida Atlantic University,EGN 2213,Computer Applications In Engineering 1,CSCI 1190,Beginning Programming For Engineers,,,,Florida Atlantic University
Hempstead,NY,Hofstra University,ENGG 010,Computational Methods In Engineering,CSCI 1190,Beginning Programming For Engineers,,,,Hofstra University Undergraduate
