City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Coon Rapids,MN,Anoka-Ramsey Community College,ECON 2205,Principles Of Macroeconomics,ECON 2010,Intermediate Microeconomic Theory,,,,Anoka-Ramsey Community College
Cambridge,MN,Anoka-Ramsey Community College-Cambridge Campus,ECON 2205,Principles Of Macroeconomics,ECON 2010,Intermediate Microeconomic Theory,,,,Anoka-Ramsey Community College
Claremont,CA,Claremont Mckenna College,ECON 101,Intermediate Microeconomics,ECON 2010,Intermediate Microeconomic Theory,,,,Claremont McKenna College
Waterville,ME,Colby College,EC223,Microeconomic Theory,ECON 2010,Intermediate Microeconomic Theory,,,,Colby College
Williamsburg,VA,College Of William And Mary,ECON 303,Intermediate Microeconomic Theory,ECON 2010,Intermediate Microeconomic Theory,,,,College Of William And Mary Undergraduate
Colorado Springs,CO,Colorado College,EC301,Microeconomic Theory,ECON 2010,Intermediate Microeconomic Theory,,,,Colorado College
Davidson,NC,Davidson College,ECO 202,Intermediate Microeconomic Theory,ECON 2010,Intermediate Microeconomic Theory,,,,Davidson College
Durham,NC,Duke University,ECON 55D,Intermediate Microeconomics I,ECON 2010,Intermediate Microeconomic Theory,,,,Duke University Undergraduate Instruction
Miami,FL,Florida International University,ECO 2023,Principles Of Microeconomics,ECON 2010,Intermediate Microeconomic Theory,,,,Florida International University Undergraduate
Columbus,OH,Franklin University,ECON321,Intermediate Microeconomics,ECON 2010,Intermediate Microeconomic Theory,,01/01/2024,01/01/2027,Franklin University
Gambier,OH,Kenyon College,ECON 201,Microeconomic Theory,ECON 2010,Intermediate Microeconomic Theory,,,,Kenyon College
Easton,PA,Lafayette College,ECON 211 + ECON 212,Intermediate Microeconomics + Intermediate Macroeconomics,ECON 2010,Intermediate Microeconomic Theory,,,,Lafayette College
New York,NY,Pace University-New York,ECO 230,Intermediate Macroeconomics,ECON 2010,Intermediate Microeconomic Theory,,,,Pace University Course Descriptions
Pleasantville,NY,Pace University-Pleasantville Briarcliff,ECO 230,Intermediate Macroeconomics,ECON 2010,Intermediate Microeconomic Theory,,,,Pace University Course Descriptions
White Plains,NY,Pace University-White Plains,ECO 230,Intermediate Macroeconomics,ECON 2010,Intermediate Microeconomic Theory,,,,Pace University Course Descriptions
Claremont,CA,Pitzer College,ECON 105,Microeconomic Theory,ECON 2010,Intermediate Microeconomic Theory,,,,Pitzer College
Shoreline,WA,Shoreline Community College,ECON 201,Introduction To Macroeconomics,ECON 2010,Intermediate Microeconomic Theory,,,,Shoreline Community College
Seattle,WA,"Shoreline Community College - Cnc Machinists Program , Georgetown Ssc",ECON 201,Introduction To Macroeconomics,ECON 2010,Intermediate Microeconomic Theory,,,,Shoreline Community College
Seattle,WA,Shoreline Community College - Dental Hygiene,ECON 201,Introduction To Macroeconomics,ECON 2010,Intermediate Microeconomic Theory,,,,Shoreline Community College
Canton,NY,St Lawrence University,ECON 251,Intermediate Microeconomic Theory,ECON 2010,Intermediate Microeconomic Theory,,,,Saint Lawrence University
Stony Brook,NY,Stony Brook University,ECO 303,Intermediate Microeconomic Theory,ECON 2010,Intermediate Microeconomic Theory,ECON 2010 (4cr),05/01/2023,05/01/2026,SUNY Stony Brook Undergraduate Bulletin And Course Descriptions Spring
Philadelphia,PA,Temple University,ECON 3501,Intermediate Microeconomic Analysis,ECON 2010,Intermediate Microeconomic Theory,,,,Temple University Undergraduate
Santa Barbara,CA,University Of California-Santa Barbara,ECON 10A,Intermediate Microeconomic Theory,ECON 2010,Intermediate Microeconomic Theory,,,,University Of California Santa Barbara
Storrs,CT,University Of Connecticut,ECON 2201,Intermediate Microeconomic Theory,ECON 2010,Intermediate Microeconomic Theory,,,,University Of Connecticut Undergraduate
Groton,CT,University Of Connecticut-Avery Point,ECON 2201,Intermediate Microeconomic Theory,ECON 2010,Intermediate Microeconomic Theory,,,,University Of Connecticut Undergraduate
Hartford,CT,University Of Connecticut-Hartford Campus,ECON 2201,Intermediate Microeconomic Theory,ECON 2010,Intermediate Microeconomic Theory,,,,University Of Connecticut Undergraduate
