City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Washington,DC,Catholic University Of America,ENGR 321 + ENGR 355,Electronic Circuits I + Electrical Laboratory I,ENGR 2300,Electronic Instrumentation,,,,Catholic University Of America Course Descriptions
Enfield,CT,Connecticut State Community College Asnuntuck Campus,EGR 2221,Introduction To Electrical Circuit Analysis,ENGR 2300,Electronic Instrumentation,,01/01/2021,01/01/2026,Connecticut State Community College
Hartford,CT,Connecticut State Community College Capital Campus,EGR 2221,Introduction To Electrical Circuit Analysis,ENGR 2300,Electronic Instrumentation,,01/01/2021,01/01/2026,Connecticut State Community College
New Haven,CT,Connecticut State Community College Gateway Campus,EGR 2221,Introduction To Electrical Circuit Analysis,ENGR 2300,Electronic Instrumentation,,01/01/2021,01/01/2026,Connecticut State Community College
Bridgeport,CT,Connecticut State Community College Housatonic Campus,EGR 2221,Introduction To Electrical Circuit Analysis,ENGR 2300,Electronic Instrumentation,,01/01/2021,01/01/2026,Connecticut State Community College
Manchester,CT,Connecticut State Community College Manchester Campus,EGR 2221,Introduction To Electrical Circuit Analysis,ENGR 2300,Electronic Instrumentation,,01/01/2021,01/01/2026,Connecticut State Community College
Middletown,CT,Connecticut State Community College Middlesex Campus,EGR 2221,Introduction To Electrical Circuit Analysis,ENGR 2300,Electronic Instrumentation,,01/01/2021,01/01/2026,Connecticut State Community College
Waterbury,CT,Connecticut State Community College Naugatuck Campus,EGR 2221,Introduction To Electrical Circuit Analysis,ENGR 2300,Electronic Instrumentation,,01/01/2021,01/01/2026,Connecticut State Community College
Winsted,CT,Connecticut State Community College Northwestern Campus,EGR 2221,Introduction To Electrical Circuit Analysis,ENGR 2300,Electronic Instrumentation,,01/01/2021,01/01/2026,Connecticut State Community College
Norwalk,CT,Connecticut State Community College Norwalk Campus,EGR 2221,Introduction To Electrical Circuit Analysis,ENGR 2300,Electronic Instrumentation,,01/01/2021,01/01/2026,Connecticut State Community College
Danielson,CT,Connecticut State Community College Quinebaug Valley Campus,EGR 2221,Introduction To Electrical Circuit Analysis,ENGR 2300,Electronic Instrumentation,,01/01/2021,01/01/2026,Connecticut State Community College
Norwich,CT,Connecticut State Community College Three Rivers Campus,EGR 2221,Introduction To Electrical Circuit Analysis,ENGR 2300,Electronic Instrumentation,,01/01/2021,01/01/2026,Connecticut State Community College
Farmington,CT,Connecticut State Community College Tunxis Campus,EGR 2221,Introduction To Electrical Circuit Analysis,ENGR 2300,Electronic Instrumentation,,01/01/2021,01/01/2026,Connecticut State Community College
New York,NY,Cuny City College,ENGR 20400,Electrical Circuits,ENGR 2300,Electronic Instrumentation,Transfers as 3 credits,01/01/2024,01/01/2029,CUNY City College
Brooklyn,NY,Cuny New York City College Of Technology,EET 1122,Circuit Analysis I,ENGR 2300,Electronic Instrumentation,,01/01/2022,01/01/2027,CUNY New York City College Of Technology Fall
Wenham,MA,Gordon College,PHY 225 + PHY 226,Electronics + Electronics Laboratory,ENGR 2300,Electronic Instrumentation,,01/01/2022,01/01/2027,Gordon College Undergraduate
Wenham,MA,Gordon College,PHY 226,Electronics Laboratory,ENGR 2300 + ENGR 2300,Electronic Instrumentation + Electronic Instrumentation,,,,Gordon College Undergraduate
Wenham,MA,Gordon College,PHY 226,Electronics Laboratory,ENGR 2300 + ENGR 2300,Electronic Instrumentation + Electronic Instrumentation,,,,Gordon College Undergraduate
Wenham,MA,Gordon College,PHY 226 + PHY 226,Electronics Laboratory + Electronics Laboratory,ENGR 2300 + ENGR 2300,Electronic Instrumentation + Electronic Instrumentation,,,,Gordon College Undergraduate
Wenham,MA,Gordon College,PHY 226 + PHY 226,Electronics Laboratory + Electronics Laboratory,ENGR 2300 + ENGR 2300,Electronic Instrumentation + Electronic Instrumentation,,,,Gordon College Undergraduate
Troy,NY,Hudson Valley Community College,MECT 130,Electricity,ENGR 2300,Electronic Instrumentation,ENGR 2300 (3cr),09/01/2023,09/01/2026,Hudson Valley Community College
Rochester,NY,Rochester Institute Of Technology,EEET-215 + EEET-216,Circuits And Electronics + Circuits And Electronics Laboratory,ENGR 2300,Electronic Instrumentation,EEET-215 + EEET-216 = ENGR 2300 2 credits,01/01/2021,01/01/2026,Rochester Institute Of Technology Undergraduate
Loudonville,NY,Siena College,SCDV - 230,Electronics,ENGR 2300,Electronic Instrumentation,,01/01/2021,01/01/2026,Siena College Undergraduate
Canton,NY,Suny Canton College Of Technology,ENGS 263 + ENGS 264,Electric Circuits + Electrical Circuit Laboratory,ENGR 2300,Electronic Instrumentation,Transfers as 4 credits,01/01/2021,01/01/2026,SUNY Canton College Of Technology
Oneonta,NY,Suny College At Oneonta,ENGR 335,Electronics/Circuits I,ENGR 2300,Electronic Instrumentation,,01/01/2021,01/01/2026,SUNY Oneonta Undergraduate
New Paltz,NY,Suny New Paltz,EGE200 + EGE201,Circuit Analysis + Circuits Laboratory,ENGR 2300,Electronic Instrumentation,,01/01/2021,01/01/2026,SUNY New Paltz Undergraduate
Valhalla,NY,Suny Westchester Community College,ELEC 128,Electrical Circuits,ENGR 2300,Electronic Instrumentation,Transfers as 3 credits,01/01/2022,01/01/2027,SUNY Westchester Community College
Dryden,NY,Tompkins-Cortland Community College,ENSC203,Electrical Science,ENGR 2300,Electronic Instrumentation,,01/01/2022,01/01/2027,Tompkins Cortland Community College (TC3)
Annapolis,MD,United States Naval Academy,EE331,Electrical Engineering I,ENGR 2300,Electronic Instrumentation,Transfers as 3 credits,01/01/2020,01/01/2025,United States Naval Academy Course Descriptions
Davis,CA,University Of California-Davis,ENG 017,Circuits I,ENGR 2300,Electronic Instrumentation,,01/01/2021,01/01/2026,University Of California Davis General
Denver,CO,University Of Denver,ENGR 1622,Introduction To Mechatronic Systems I With Multisim And Mathcad,ENGR 2300,Electronic Instrumentation,,01/01/2021,01/01/2026,University Of Denver Undergraduate
