City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Hamilton,OH,Miami University-Hamilton,IMS 225,Games And Learning,GSAS 2000,Games Simulation Arts And Sciences Elective,,,,Miami University
Hamilton,OH,Miami University-Hamilton,IMS 228,Collaborative Laboratory,GSAS 2000,Games Simulation Arts And Sciences Elective,,,,Miami University
Hamilton,OH,Miami University-Hamilton,IMS 254,Design Thinking & Design Principles Applied,GSAS 2000,Games Simulation Arts And Sciences Elective,,,,Miami University
Hamilton,OH,Miami University-Hamilton,IMS 322,Intermediate Interaction Design And Development,GSAS 2000,Games Simulation Arts And Sciences Elective,,,,Miami University
Hamilton,OH,Miami University-Hamilton,IMS 377,Independent Studies,GSAS 2000,Games Simulation Arts And Sciences Elective,,,,Miami University
Middletown,OH,Miami University-Middletown,IMS 225,Games And Learning,GSAS 2000,Games Simulation Arts And Sciences Elective,,,,Miami University
Middletown,OH,Miami University-Middletown,IMS 228,Collaborative Laboratory,GSAS 2000,Games Simulation Arts And Sciences Elective,,,,Miami University
Middletown,OH,Miami University-Middletown,IMS 254,Design Thinking & Design Principles Applied,GSAS 2000,Games Simulation Arts And Sciences Elective,,,,Miami University
Middletown,OH,Miami University-Middletown,IMS 322,Intermediate Interaction Design And Development,GSAS 2000,Games Simulation Arts And Sciences Elective,,,,Miami University
Middletown,OH,Miami University-Middletown,IMS 377,Independent Studies,GSAS 2000,Games Simulation Arts And Sciences Elective,,,,Miami University
Oxford,OH,Miami University-Oxford,IMS 225,Games And Learning,GSAS 2000,Games Simulation Arts And Sciences Elective,,,,Miami University
Oxford,OH,Miami University-Oxford,IMS 228,Collaborative Laboratory,GSAS 2000,Games Simulation Arts And Sciences Elective,,,,Miami University
Oxford,OH,Miami University-Oxford,IMS 254,Design Thinking & Design Principles Applied,GSAS 2000,Games Simulation Arts And Sciences Elective,,,,Miami University
Oxford,OH,Miami University-Oxford,IMS 322,Intermediate Interaction Design And Development,GSAS 2000,Games Simulation Arts And Sciences Elective,,,,Miami University
Oxford,OH,Miami University-Oxford,IMS 377,Independent Studies,GSAS 2000,Games Simulation Arts And Sciences Elective,,,,Miami University
Singapore, ,Nanyang Technological University (Ntu) - Rpi Study Abroad,DT 2005,Lighting And Rendering Pipeline,GSAS 2000,Games Simulation Arts And Sciences Elective,GSAS 2000 (3 credits),01/01/2024,01/01/2027,NANYANG TECH U - RPI ADDED
Stone Ridge,NY,Suny Ulster County Community College,CSC 210,Android App Development,GSAS 2000,Games Simulation Arts And Sciences Elective,,,,SUNY Ulster County Community College
Stone Ridge,NY,Suny Ulster County Community College,CSC 215,Apple Ios App Development,GSAS 2000,Games Simulation Arts And Sciences Elective,,,,SUNY Ulster County Community College
