City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Middletown,PA,Pennsylvania State Univ-Harrisburg Capital College,IST 110,"Information, People And Technology",IHSS 1220,It And Society,,,,Pennsylvania State University Undergraduate
Center Valley,PA,Pennsylvania State Univ-Lehigh Vly Berks-Lehigh,IST 110,"Information, People And Technology",IHSS 1220,It And Society,,,,Pennsylvania State University Undergraduate
Schuylkill Haven,PA,Pennsylvania State Univ-Schuylkill-Capital College,IST 110,"Information, People And Technology",IHSS 1220,It And Society,,,,Pennsylvania State University Undergraduate
Abington,PA,Pennsylvania State University-Abington College,IST 110,"Information, People And Technology",IHSS 1220,It And Society,,,,Pennsylvania State University Undergraduate
Altoona,PA,Pennsylvania State University-Altoona College,IST 110,"Information, People And Technology",IHSS 1220,It And Society,,,,Pennsylvania State University Undergraduate
Monaca,PA,Pennsylvania State University-Beaver,IST 110,"Information, People And Technology",IHSS 1220,It And Society,,,,Pennsylvania State University Undergraduate
Reading,PA,Pennsylvania State University-Berks-Lehigh Valley,IST 110,"Information, People And Technology",IHSS 1220,It And Society,,,,Pennsylvania State University Undergraduate
Media,PA,Pennsylvania State University-Delaware,IST 110,"Information, People And Technology",IHSS 1220,It And Society,,,,Pennsylvania State University Undergraduate
Dubois,PA,Pennsylvania State University-Du Bois,IST 110,"Information, People And Technology",IHSS 1220,It And Society,,,,Pennsylvania State University Undergraduate
Erie,PA,Pennsylvania State University-Erie Behrend College,IST 110,"Information, People And Technology",IHSS 1220,It And Society,,,,Pennsylvania State University Undergraduate
Lemont Furnace,PA,Pennsylvania State University-Fayette,IST 110,"Information, People And Technology",IHSS 1220,It And Society,,,,Pennsylvania State University Undergraduate
Hazleton,PA,Pennsylvania State University-Hazleton,IST 110,"Information, People And Technology",IHSS 1220,It And Society,,,,Pennsylvania State University Undergraduate
Mckeesport,PA,Pennsylvania State University-Mckeesport,IST 110,"Information, People And Technology",IHSS 1220,It And Society,,,,Pennsylvania State University Undergraduate
Mont Alto,PA,Pennsylvania State University-Mont Alto Campus,IST 110,"Information, People And Technology",IHSS 1220,It And Society,,,,Pennsylvania State University Undergraduate
Upper Burrell,PA,Pennsylvania State University-New Kensington,IST 110,"Information, People And Technology",IHSS 1220,It And Society,,,,Pennsylvania State University Undergraduate
Malvern,PA,Pennsylvania State University-Penn State Great Valley,IST 110,"Information, People And Technology",IHSS 1220,It And Society,,,,Pennsylvania State University Undergraduate
Sharon,PA,Pennsylvania State University-Shenango,IST 110,"Information, People And Technology",IHSS 1220,It And Society,,,,Pennsylvania State University Undergraduate
Lehman,PA,Pennsylvania State University-Wilkes-Barre,IST 110,"Information, People And Technology",IHSS 1220,It And Society,,,,Pennsylvania State University Undergraduate
University Park,PA,Pennsylvania State University-World Campus,IST 110,"Information, People And Technology",IHSS 1220,It And Society,,,,Pennsylvania State University Undergraduate
Dunmore,PA,Pennsylvania State University-Worthington Scranton,IST 110,"Information, People And Technology",IHSS 1220,It And Society,,,,Pennsylvania State University Undergraduate
York,PA,Pennsylvania State University-York,IST 110,"Information, People And Technology",IHSS 1220,It And Society,,,,Pennsylvania State University Undergraduate
University Park,PA,The Pennsylvania State University,IST 110,"Information, People And Technology",IHSS 1220,It And Society,,,,Pennsylvania State University Undergraduate
Tucson,AZ,University Of Arizona,MIS 112,Computers & Internetworked Society - Lab,IHSS 1220 + IHSS 1220,It And Society + It And Society,,,,University Of Arizona Fall Course Descriptions
Tucson,AZ,University Of Arizona,MIS 112,Computers & Internetworked Society - Lab,IHSS 1220 + IHSS 1220,It And Society + It And Society,,,,University Of Arizona Fall Course Descriptions
Seattle,WA,University Of Washington,INFO 102,Gender And Information Technology,IHSS 1220,It And Society,,,,University Of Washington Course Descriptions
