City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Middletown,PA,Pennsylvania State Univ-Harrisburg Capital College,BBH 119,"Behavior, Health, And Disease",IHSS 1420,Global Health Challenges,,,,Pennsylvania State University Undergraduate
Center Valley,PA,Pennsylvania State Univ-Lehigh Vly Berks-Lehigh,BBH 119,"Behavior, Health, And Disease",IHSS 1420,Global Health Challenges,,,,Pennsylvania State University Undergraduate
Schuylkill Haven,PA,Pennsylvania State Univ-Schuylkill-Capital College,BBH 119,"Behavior, Health, And Disease",IHSS 1420,Global Health Challenges,,,,Pennsylvania State University Undergraduate
Abington,PA,Pennsylvania State University-Abington College,BBH 119,"Behavior, Health, And Disease",IHSS 1420,Global Health Challenges,,,,Pennsylvania State University Undergraduate
Altoona,PA,Pennsylvania State University-Altoona College,BBH 119,"Behavior, Health, And Disease",IHSS 1420,Global Health Challenges,,,,Pennsylvania State University Undergraduate
Monaca,PA,Pennsylvania State University-Beaver,BBH 119,"Behavior, Health, And Disease",IHSS 1420,Global Health Challenges,,,,Pennsylvania State University Undergraduate
Reading,PA,Pennsylvania State University-Berks-Lehigh Valley,BBH 119,"Behavior, Health, And Disease",IHSS 1420,Global Health Challenges,,,,Pennsylvania State University Undergraduate
Media,PA,Pennsylvania State University-Delaware,BBH 119,"Behavior, Health, And Disease",IHSS 1420,Global Health Challenges,,,,Pennsylvania State University Undergraduate
Dubois,PA,Pennsylvania State University-Du Bois,BBH 119,"Behavior, Health, And Disease",IHSS 1420,Global Health Challenges,,,,Pennsylvania State University Undergraduate
Erie,PA,Pennsylvania State University-Erie Behrend College,BBH 119,"Behavior, Health, And Disease",IHSS 1420,Global Health Challenges,,,,Pennsylvania State University Undergraduate
Lemont Furnace,PA,Pennsylvania State University-Fayette,BBH 119,"Behavior, Health, And Disease",IHSS 1420,Global Health Challenges,,,,Pennsylvania State University Undergraduate
Hazleton,PA,Pennsylvania State University-Hazleton,BBH 119,"Behavior, Health, And Disease",IHSS 1420,Global Health Challenges,,,,Pennsylvania State University Undergraduate
Mckeesport,PA,Pennsylvania State University-Mckeesport,BBH 119,"Behavior, Health, And Disease",IHSS 1420,Global Health Challenges,,,,Pennsylvania State University Undergraduate
Mont Alto,PA,Pennsylvania State University-Mont Alto Campus,BBH 119,"Behavior, Health, And Disease",IHSS 1420,Global Health Challenges,,,,Pennsylvania State University Undergraduate
Upper Burrell,PA,Pennsylvania State University-New Kensington,BBH 119,"Behavior, Health, And Disease",IHSS 1420,Global Health Challenges,,,,Pennsylvania State University Undergraduate
Malvern,PA,Pennsylvania State University-Penn State Great Valley,BBH 119,"Behavior, Health, And Disease",IHSS 1420,Global Health Challenges,,,,Pennsylvania State University Undergraduate
Sharon,PA,Pennsylvania State University-Shenango,BBH 119,"Behavior, Health, And Disease",IHSS 1420,Global Health Challenges,,,,Pennsylvania State University Undergraduate
Lehman,PA,Pennsylvania State University-Wilkes-Barre,BBH 119,"Behavior, Health, And Disease",IHSS 1420,Global Health Challenges,,,,Pennsylvania State University Undergraduate
University Park,PA,Pennsylvania State University-World Campus,BBH 119,"Behavior, Health, And Disease",IHSS 1420,Global Health Challenges,,,,Pennsylvania State University Undergraduate
Dunmore,PA,Pennsylvania State University-Worthington Scranton,BBH 119,"Behavior, Health, And Disease",IHSS 1420,Global Health Challenges,,,,Pennsylvania State University Undergraduate
York,PA,Pennsylvania State University-York,BBH 119,"Behavior, Health, And Disease",IHSS 1420,Global Health Challenges,,,,Pennsylvania State University Undergraduate
University Park,PA,The Pennsylvania State University,BBH 119,"Behavior, Health, And Disease",IHSS 1420,Global Health Challenges,,,,Pennsylvania State University Undergraduate
