City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Smithfield,RI,Bryant University,ISA 201,Introduction To Information Technology And Analytics,ITWS 1000,Information Technology And Web Science Elective,,,,Bryant University Undergraduate
Potsdam,NY,Clarkson University,CS 110,Introduction To Business Intelligence And Data Analytics,ITWS 1000,Information Technology And Web Science Elective,,,,Clarkson University Course Descriptions
Schenectady,NY,Clarkson University Capital Region Campus,CS 110,Introduction To Business Intelligence And Data Analytics,ITWS 1000,Information Technology And Web Science Elective,,,,Clarkson University Course Descriptions
Baltimore,MD,Community College Of Baltimore County,CINS 101,Introduction To Computers,ITWS 1000,Information Technology And Web Science Elective,,,,Community College Of Baltimore County
Philadelphia,PA,Drexel University,CI 103,Computing And Informatics Design III,ITWS 1000,Information Technology And Web Science Elective,,,,Drexel University Undergraduate
Philadelphia,PA,Drexel University,CI 101 + CI 103,Computing And Informatics Design I + Computing And Informatics Design III,ITWS 1000,Information Technology And Web Science Elective,,,,Drexel University Undergraduate
Troy,NY,Hudson Valley Community College,CISS 215,Project Management,ITWS 1000,Information Technology And Web Science Elective,,,,Hudson Valley Community College
Bloomington,IN,Indiana University-Bloomington,INFO-I 101,Introduction To Informatics,ITWS 1000,Information Technology And Web Science Elective,,,,"Indiana University School Of Informatics, Computing, And Engineering"
Annandale,VA,Northern Virginia Community College,ITN 101,Introduction To Network Concepts,ITWS 1000,Information Technology And Web Science Elective,,,,Northern Virginia Community College
Jersey City,NJ,Saint Peter's University,CS-150,Introduction To Computers And Information Processing,ITWS 1000,Information Technology And Web Science Elective,,,,Saint Peter'S University Undergraduate
Springfield,MA,Springfield Technical Community College,PROG-109,Information Systems Fundamentals,ITWS 1000,Information Technology And Web Science Elective,,,,Springfield Technical Community College
Albany,NY,"University At Albany, State University Of New York",B ITM 215,Information Technologies For Business,ITWS 1000,Information Technology And Web Science Elective,,,,SUNY University At Albany Undergraduate Bulletin
Albany,NY,"University At Albany, State University Of New York",I INF 305,Digital Project Management,ITWS 1000,Information Technology And Web Science Elective,,,,SUNY University At Albany Undergraduate Bulletin
La Jolla,CA,University Of California-San Diego,CSE 134B,Web Client Languages,ITWS 1000,Information Technology And Web Science Elective,,,,University Of California San Diego
Storrs,CT,University Of Connecticut,DMD 3993,"Foreign Study (Variable , 1-2)",ITWS 1000,Information Technology And Web Science Elective,,,,University Of Connecticut Undergraduate
Groton,CT,University Of Connecticut-Avery Point,DMD 3993,"Foreign Study (Variable , 1-2)",ITWS 1000,Information Technology And Web Science Elective,,,,University Of Connecticut Undergraduate
Hartford,CT,University Of Connecticut-Hartford Campus,DMD 3993,"Foreign Study (Variable , 1-2)",ITWS 1000,Information Technology And Web Science Elective,,,,University Of Connecticut Undergraduate
Stamford,CT,University Of Connecticut-Stamford,DMD 3993,"Foreign Study (Variable , 1-2)",ITWS 1000,Information Technology And Web Science Elective,,,,University Of Connecticut Undergraduate
Waterbury,CT,University Of Connecticut-Waterbury Campus,DMD 3993,"Foreign Study (Variable , 1-2)",ITWS 1000,Information Technology And Web Science Elective,,,,University Of Connecticut Undergraduate
Leeds, ,University Of Leeds,COMP3441,Business Issues In Computing,ITWS 1000,Information Technology And Web Science Elective,,,,University Of Leeds Undergraduate Modules
Washington,NJ,Warren County Community College,CSC 110,Systems Analysis,ITWS 1000,Information Technology And Web Science Elective,,,,Warren County Community College
