City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Lewiston,ME,Bates College,BSAF 002,Intensive French Language II,LANG 1120,French II,,,,Bates College
Waterville,ME,Colby College,FR126,French II,LANG 1120,French II,,,,Colby College
Baltimore,MD,Community College Of Baltimore County,FLFR 102,Introductory French II,LANG 1120,French II,,,,Community College Of Baltimore County
Bronx,NY,Fordham University,FREN 1002,Introduction To French II,LANG 1120,French II,,,,Fordham University
Johnstown,NY,Fulton-Montgomery Community College,FL 142,Elementary French II,LANG 1120,French II,,,,Fulton-Montgomery Community College
Johnstown,NY,Fulton-Montgomery Community College,FRE 102,Elementary French II,LANG 1120,French II,,,,Fulton-Montgomery Community College
Atlanta,GA,Georgia State University-Perimeter College,FREN 1002,Elementary French II,LANG 1120,French II,,,,Georgia State University - Perimeter College Associate-Level Undergraduate
Holyoke,MA,Holyoke Community College,FRH 102,Elementary French II,LANG 1120,French II,,,,Holyoke Community College
Jamestown,NY,Jamestown Community College,FRE 1520,Introductory French II,LANG 1120,French II,,,,Jamestown Community College
Middletown,VA,Laurel Ridge Community College,FRE 102,Beginning French II,LANG 1120,French II,,,,Laurel Ridge Community College
Syracuse,NY,Le Moyne College,FRN 102,Elementary French II,LANG 1120,French II,,,,Le Moyne College
Miami,FL,Miami Dade College,FRE1121,Elementary French 2,LANG 1120,French II,,,,Miami Dade College
Rochester,NY,Monroe Community College,FRE 102,Elementary French II,LANG 1120,French II,,,,Monroe Community College
Plattsburgh,NY,Suny College At Plattsburgh,FRE 112,Elementary French II,LANG 1120,French II,,,,SUNY College At Plattsburgh Undergraduate And Graduate
Cobleskill,NY,Suny College Of Agriculture And Technology At Cobleskill,FREN 102,Beginning French II,LANG 1120,French II,,,,SUNY College Of Agriculture And Technology At Cobleskill
Cortland,NY,Suny Cortland,FRE 102,Beginning French II,LANG 1120,French II,,,,SUNY Cortland Undergraduate
New Orleans,LA,Tulane University,FREN 102,Elementary French II,LANG 1120,French II,,,,Tulane University
