City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Garden City,NY,Adelphi University,ENG250,The Study Of Literature,LITR 1000,Literature Elective,,,,Adelphi University Undergraduate And Graduate Courses
Annandale-On-Hudson,NY,Bard College,LIT 103,Creative Writing I,LITR 1000,Literature Elective,,,,Bard High School Early College Queens Fall
Annandale-On-Hudson,NY,Bard College,SEM 101,First Year Seminar I,LITR 1000,Literature Elective,,,,Bard High School Early College Queens Fall
Great Barrington,MA,Bard College At Simon's Rock,LIT 103,Creative Writing I,LITR 1000,Literature Elective,,,,Bard High School Early College Queens Fall
Great Barrington,MA,Bard College At Simon's Rock,SEM 101,First Year Seminar I,LITR 1000,Literature Elective,,,,Bard High School Early College Queens Fall
Chestnut Hill,MA,Boston College,EN 081,Literary Themes,LITR 1000,Literature Elective,,,,Boston College Undergraduate
Chestnut Hill,MA,Boston College,EN 082,Literature And Society,LITR 1000,Literature Elective,,,,Boston College Undergraduate
Chestnut Hill,MA,Boston College,ENGL1080,Literature Core,LITR 1000,Literature Elective,,,,Boston College
Bowling Green,OH,Bowling Green State University-Main Campus,ENG 201,Introduction To Literature,LITR 1000,Literature Elective,,,,Bowling Green State University Course Descriptions
Smithfield,RI,Bryant University,LCS 121,Introduction To Literary Studies,LITR 1000,Literature Elective,,,,Bryant University Undergraduate
Cambridge, ,Cambridge Assessment International Education,English - Literature - 9695,English - Literature,LITR 1000,Literature Elective,A Level Only,,,AICE Cambridge International Exams
Cleveland,OH,Case Western Reserve University,FSSY 112,Shakespeare - Still A Hit,LITR 1000,Literature Elective,,,,Case Western Reserve University
Cleveland,OH,Case Western Reserve University,USSY 291F,Literary Arcadias: Idealized Landscapes And The Intrusion Of Reality,LITR 1000,Literature Elective,,,,Case Western Reserve University
Killeen,TX,Central Texas College,MUSI 1307,Music Literature,LITR 1000,Literature Elective,,,,Central Texas College Texas Campuses
Worcester,MA,Clark University,ENG 180,Major American Writers I,LITR 1000,Literature Elective,,,,Clark University
Worcester,MA,Clark University,ENG 184,American Poetry,LITR 1000,Literature Elective,,,,Clark University
Waterville,ME,Colby College,LT131,Introduction To Latin Literature,LITR 1000,Literature Elective,LITR 1000 (4cr),05/01/2023,05/01/2026,Colby College
Waterville,ME,Colby College,WP151A,Reading And Writing About Literature: Dark And Stormy Nights,LITR 1000,Literature Elective,,,,Colby College
Eureka,CA,College Of The Redwoods,ENGL1B,Critical Inquiry And Literature,LITR 1000,Literature Elective,,,,College Of The Redwoods
Williamsburg,VA,College Of William And Mary,FILM 150W,Introduction To Film Studies,LITR 1000,Literature Elective,,,,College Of William And Mary Undergraduate
Wooster,OH,College Of Wooster,ENGL 12000,Strange Journeys In Children’s Lit,LITR 1000,Literature Elective,,,,College Of Wooster
Winsted,CT,Connecticut State Community College Northwestern Campus,ENG* 102,Literature & Composition,LITR 1000,Literature Elective,,,,Northwestern Connecticut Community College
