City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Enfield,CT,Connecticut State Community College Asnuntuck Campus,NTEC 1100 + NTEC 1110,Radiation Health Safety + Radiation Health Safety Lab,MANE 2830,Nuclear Phenomena For Engineering Applications,NETC 1100 and NTEC 1110 come in as 3 credots,01/01/2024,01/01/2029,Connecticut State Community College
Hartford,CT,Connecticut State Community College Capital Campus,NTEC 1100 + NTEC 1110,Radiation Health Safety + Radiation Health Safety Lab,MANE 2830,Nuclear Phenomena For Engineering Applications,NETC 1100 and NTEC 1110 come in as 3 credots,01/01/2024,01/01/2029,Connecticut State Community College
New Haven,CT,Connecticut State Community College Gateway Campus,NTEC 1100 + NTEC 1110,Radiation Health Safety + Radiation Health Safety Lab,MANE 2830,Nuclear Phenomena For Engineering Applications,NETC 1100 and NTEC 1110 come in as 3 credots,01/01/2024,01/01/2029,Connecticut State Community College
Bridgeport,CT,Connecticut State Community College Housatonic Campus,NTEC 1100 + NTEC 1110,Radiation Health Safety + Radiation Health Safety Lab,MANE 2830,Nuclear Phenomena For Engineering Applications,NETC 1100 and NTEC 1110 come in as 3 credots,01/01/2024,01/01/2029,Connecticut State Community College
Manchester,CT,Connecticut State Community College Manchester Campus,NTEC 1100 + NTEC 1110,Radiation Health Safety + Radiation Health Safety Lab,MANE 2830,Nuclear Phenomena For Engineering Applications,NETC 1100 and NTEC 1110 come in as 3 credots,01/01/2024,01/01/2029,Connecticut State Community College
Middletown,CT,Connecticut State Community College Middlesex Campus,NTEC 1100 + NTEC 1110,Radiation Health Safety + Radiation Health Safety Lab,MANE 2830,Nuclear Phenomena For Engineering Applications,NETC 1100 and NTEC 1110 come in as 3 credots,01/01/2024,01/01/2029,Connecticut State Community College
Waterbury,CT,Connecticut State Community College Naugatuck Campus,NTEC 1100 + NTEC 1110,Radiation Health Safety + Radiation Health Safety Lab,MANE 2830,Nuclear Phenomena For Engineering Applications,NETC 1100 and NTEC 1110 come in as 3 credots,01/01/2024,01/01/2029,Connecticut State Community College
Winsted,CT,Connecticut State Community College Northwestern Campus,NTEC 1100 + NTEC 1110,Radiation Health Safety + Radiation Health Safety Lab,MANE 2830,Nuclear Phenomena For Engineering Applications,NETC 1100 and NTEC 1110 come in as 3 credots,01/01/2024,01/01/2029,Connecticut State Community College
Norwalk,CT,Connecticut State Community College Norwalk Campus,NTEC 1100 + NTEC 1110,Radiation Health Safety + Radiation Health Safety Lab,MANE 2830,Nuclear Phenomena For Engineering Applications,NETC 1100 and NTEC 1110 come in as 3 credots,01/01/2024,01/01/2029,Connecticut State Community College
Danielson,CT,Connecticut State Community College Quinebaug Valley Campus,NTEC 1100 + NTEC 1110,Radiation Health Safety + Radiation Health Safety Lab,MANE 2830,Nuclear Phenomena For Engineering Applications,NETC 1100 and NTEC 1110 come in as 3 credots,01/01/2024,01/01/2029,Connecticut State Community College
Norwich,CT,Connecticut State Community College Three Rivers Campus,NTEC 1100 + NTEC 1110,Radiation Health Safety + Radiation Health Safety Lab,MANE 2830,Nuclear Phenomena For Engineering Applications,NETC 1100 and NTEC 1110 come in as 3 credots,01/01/2024,01/01/2029,Connecticut State Community College
Farmington,CT,Connecticut State Community College Tunxis Campus,NTEC 1100 + NTEC 1110,Radiation Health Safety + Radiation Health Safety Lab,MANE 2830,Nuclear Phenomena For Engineering Applications,NETC 1100 and NTEC 1110 come in as 3 credots,01/01/2024,01/01/2029,Connecticut State Community College
