City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Waltham,MA,Bentley University,MA 123,Applied Calculus For Business I,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Bentley University Undergraduate
St Catherine,ON,Brock University,MATH 1P97,Calculus With Applications,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Brock University Undergraduate
Boston,MA,Bunker Hill Community College,MAT-231,Calculus For Management Science,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Bunker Hill Community College
San Luis Obispo,CA,California Polytechnic State University-San Luis Obispo,MATH 182,Calculus For Architecture And Construction Management,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,California Polytechnic State University San Luis Obispo
Cleveland,OH,Case Western Reserve University,MATH 125,"Math And Calculus Applications For Life, Managerial, And Social Sci I",MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Case Western Reserve University
Potsdam,NY,Clarkson University,MA 101,Fundamentals Of Calculus I,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Clarkson University Course Descriptions
Potsdam,NY,Clarkson University,MA 181,Basic Calculus,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Clarkson University Course Descriptions
Schenectady,NY,Clarkson University Capital Region Campus,MA 101,Fundamentals Of Calculus I,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Clarkson University Course Descriptions
Schenectady,NY,Clarkson University Capital Region Campus,MA 181,Basic Calculus,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Clarkson University Course Descriptions
Colorado Springs,CO,Colorado College,MA126,Calculus 1,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Colorado College
Ithaca,NY,Cornell University-Endowed Colleges,MATH 106,Calculus For The Life And Social Sciences,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Cornell University
Franklin,MA,Dean College,MTH 241,Calculus I,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Dean College
Bronx,NY,Fordham University,MATH 1109,Math For Business: Calculus,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Fordham University
