City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Boston,MA,Boston University,CAS MA 581,Probability,MATP 4600,Probability Theory And Applications,MATP 4600 (4 cr),05/01/2023,05/01/2026,Boston University Course Descriptions
Waterville,ME,Colby College,MA381,Probability,MATP 4600,Probability Theory And Applications,,,,Colby College
Wooster,OH,College Of Wooster,MATH 22900,Probability Theory,MATP 4600,Probability Theory And Applications,,,,College Of Wooster
Philadelphia,PA,Drexel University,MATH 311,Probability And Statistics I,MATP 4600,Probability Theory And Applications,,,,Drexel University Undergraduate
Middletown,PA,Pennsylvania State Univ-Harrisburg Capital College,MATH 414,Introduction To Probability Theory,MATP 4600,Probability Theory And Applications,,,,Pennsylvania State University Undergraduate
Center Valley,PA,Pennsylvania State Univ-Lehigh Vly Berks-Lehigh,MATH 414,Introduction To Probability Theory,MATP 4600,Probability Theory And Applications,,,,Pennsylvania State University Undergraduate
Schuylkill Haven,PA,Pennsylvania State Univ-Schuylkill-Capital College,MATH 414,Introduction To Probability Theory,MATP 4600,Probability Theory And Applications,,,,Pennsylvania State University Undergraduate
Abington,PA,Pennsylvania State University-Abington College,MATH 414,Introduction To Probability Theory,MATP 4600,Probability Theory And Applications,,,,Pennsylvania State University Undergraduate
Altoona,PA,Pennsylvania State University-Altoona College,MATH 414,Introduction To Probability Theory,MATP 4600,Probability Theory And Applications,,,,Pennsylvania State University Undergraduate
Monaca,PA,Pennsylvania State University-Beaver,MATH 414,Introduction To Probability Theory,MATP 4600,Probability Theory And Applications,,,,Pennsylvania State University Undergraduate
Reading,PA,Pennsylvania State University-Berks-Lehigh Valley,MATH 414,Introduction To Probability Theory,MATP 4600,Probability Theory And Applications,,,,Pennsylvania State University Undergraduate
Media,PA,Pennsylvania State University-Delaware,MATH 414,Introduction To Probability Theory,MATP 4600,Probability Theory And Applications,,,,Pennsylvania State University Undergraduate
Dubois,PA,Pennsylvania State University-Du Bois,MATH 414,Introduction To Probability Theory,MATP 4600,Probability Theory And Applications,,,,Pennsylvania State University Undergraduate
Erie,PA,Pennsylvania State University-Erie Behrend College,MATH 414,Introduction To Probability Theory,MATP 4600,Probability Theory And Applications,,,,Pennsylvania State University Undergraduate
Lemont Furnace,PA,Pennsylvania State University-Fayette,MATH 414,Introduction To Probability Theory,MATP 4600,Probability Theory And Applications,,,,Pennsylvania State University Undergraduate
Hazleton,PA,Pennsylvania State University-Hazleton,MATH 414,Introduction To Probability Theory,MATP 4600,Probability Theory And Applications,,,,Pennsylvania State University Undergraduate
Mckeesport,PA,Pennsylvania State University-Mckeesport,MATH 414,Introduction To Probability Theory,MATP 4600,Probability Theory And Applications,,,,Pennsylvania State University Undergraduate
Mont Alto,PA,Pennsylvania State University-Mont Alto Campus,MATH 414,Introduction To Probability Theory,MATP 4600,Probability Theory And Applications,,,,Pennsylvania State University Undergraduate
Upper Burrell,PA,Pennsylvania State University-New Kensington,MATH 414,Introduction To Probability Theory,MATP 4600,Probability Theory And Applications,,,,Pennsylvania State University Undergraduate
Malvern,PA,Pennsylvania State University-Penn State Great Valley,MATH 414,Introduction To Probability Theory,MATP 4600,Probability Theory And Applications,,,,Pennsylvania State University Undergraduate
Sharon,PA,Pennsylvania State University-Shenango,MATH 414,Introduction To Probability Theory,MATP 4600,Probability Theory And Applications,,,,Pennsylvania State University Undergraduate
Lehman,PA,Pennsylvania State University-Wilkes-Barre,MATH 414,Introduction To Probability Theory,MATP 4600,Probability Theory And Applications,,,,Pennsylvania State University Undergraduate
University Park,PA,Pennsylvania State University-World Campus,MATH 414,Introduction To Probability Theory,MATP 4600,Probability Theory And Applications,,,,Pennsylvania State University Undergraduate
Dunmore,PA,Pennsylvania State University-Worthington Scranton,MATH 414,Introduction To Probability Theory,MATP 4600,Probability Theory And Applications,,,,Pennsylvania State University Undergraduate
York,PA,Pennsylvania State University-York,MATH 414,Introduction To Probability Theory,MATP 4600,Probability Theory And Applications,,,,Pennsylvania State University Undergraduate
Fairfield,CT,Sacred Heart University,MA 331,Probability,MATP 4600,Probability Theory And Applications,,,,Sacred Heart University Undergraduate
Canton,NY,St Lawrence University,MATH 325,Probability,MATP 4600,Probability Theory And Applications,,,,Saint Lawrence University
Utica,NY,Suny Polytechnic Institute,MAT 370,Applied Probability,MATP 4600,Probability Theory And Applications,,,,SUNY Polytechnic Institute Undergraduate
