City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Queensbury,NY,Adirondack Community College,BUS 171,Principles Of Financial Management,MGMT 2320,Managerial Finance,,,,SUNY Adirondack Community College
Wellesley,MA,Babson College,SME2021,Principles Of Finance,MGMT 2320,Managerial Finance,,,,Babson College Undergraduate Course Descriptions
Waltham,MA,Bentley University,FI 305,Principles Of Accounting And Finance,MGMT 2320,Managerial Finance,,,,Bentley University Undergraduate
Pittsfield,MA,Berkshire Community College,BUS 220 + BUS 255,Managerial Accounting + Principles Of Finance,MGMT 2000 + MGMT 2320,Management Elective + Managerial Finance,,,,Berkshire Community College
Smithfield,RI,Bryant University,FIN 201,Financial Management,MGMT 2320,Managerial Finance,,,,Bryant University Undergraduate
Cleveland,OH,Case Western Reserve University,BAFI 355,Corporate Finance,MGMT 2320,Managerial Finance,,,,Case Western Reserve University
Brooklyn,NY,Cuny New York City College Of Technology,BUS 2339,Financial Management,MGMT 2320,Managerial Finance,,,,CUNY New York City College Of Technology Fall
Framingham,MA,Framingham State University,FINA 248,Managerial Finance,MGMT 2320,Managerial Finance,,,,Framingham State University Undergraduate
Oneonta,NY,Hartwick College,BUSA 280,Finance,MGMT 2320,Managerial Finance,,,,Hartwick College
Hempstead,NY,Hofstra University,FIN 101,"Introduction To Finance, Financial Markets And Institutions",MGMT 2320,Managerial Finance,,,,Hofstra University Undergraduate
Keene,NH,Keene State College,MGT 319,Financial Management,MGMT 2320,Managerial Finance,,,,Keene State College Undergraduate And Graduate
Easton,PA,Lafayette College,ECON 319 + ECON 320 + ECON 323 + ECON 351,"Financial Theory And Analysis + Corporate Finance + Money, Financial Intermediation, And The Economy + International Monetary Systems",MGMT 2320,Managerial Finance,,,,Lafayette College
Erie,PA,Mercyhurst University,ACCT 102,Principles Of Accounting II: Managerial,MGMT 2320,Managerial Finance,,,,Mercyhurst University Undergraduate
North East,PA,Mercyhurst University-North East Campus,ACCT 102,Principles Of Accounting II: Managerial,MGMT 2320,Managerial Finance,,,,Mercyhurst University Undergraduate
North Andover,MA,Merrimack College,BUS 2215,Managerial Finance,MGMT 2320,Managerial Finance,,,,Merrimack College Undergraduate
East Lansing,MI,Michigan State University,FI 311,Financial Management,MGMT 2320,Managerial Finance,,,,Michigan State University Course Descriptions
Middletown,NY,Orange County Community College,ACC 154,Managerial Accounting,MGMT 2320,Managerial Finance,MGMT 2320 (4 cr),01/01/2024,01/01/2027,SUNY Orange County Community College
Brisbane,QLD,Queensland University Of Technology,EFB210,Finance 1,MGMT 2320,Managerial Finance,,,,Queensland University Of Technology
Schenectady,NY,Schenectady County Community College,ACC 222,Intermediate Accounting I,MGMT 2320,Managerial Finance,,,,Schenectady County Community College
Loudonville,NY,Siena College,FINC - 301,Managerial Finance I,MGMT 2320,Managerial Finance,,,,Siena College Undergraduate
Stony Brook,NY,Stony Brook University,BUS 330,Principles Of Finance,MGMT 2320,Managerial Finance,,,,SUNY Stony Brook Undergraduate Bulletin And Course Descriptions Spring
Oswego,NY,Suny College At Oswego,FIN 325,Corporate Finance,MGMT 2320,Managerial Finance,,,,SUNY Oswego Undergraduate
Delhi,NY,Suny College Of Technology At Delhi,BUSI 370,Financial Management,MGMT 2320,Managerial Finance,,,,SUNY Delhi College Of Technology
New Paltz,NY,Suny New Paltz,BUS341,Fundamentals Of Corporate Finance,MGMT 2320,Managerial Finance,,,,SUNY New Paltz Undergraduate
Albany,NY,The College Of Saint Rose,BUS 301,Financial Management,MGMT 2320,Managerial Finance,,,,College Of Saint Rose Undergraduate Studies
New Orleans,LA,Tulane University,FINC 352,Financial Management,MGMT 2320,Managerial Finance,,,,Tulane University Undergraduate Catalog
Berkeley,CA,University Of California-Berkeley,UGBA 103,Introduction To Finance,MGMT 2320,Managerial Finance,,,,University Of California Berkeley
Storrs,CT,University Of Connecticut,BADM 3730,Financial Management,MGMT 2320,Managerial Finance,,,,University Of Connecticut Undergraduate
Groton,CT,University Of Connecticut-Avery Point,BADM 3730,Financial Management,MGMT 2320,Managerial Finance,,,,University Of Connecticut Undergraduate
Hartford,CT,University Of Connecticut-Hartford Campus,BADM 3730,Financial Management,MGMT 2320,Managerial Finance,,,,University Of Connecticut Undergraduate
Stamford,CT,University Of Connecticut-Stamford,BADM 3730,Financial Management,MGMT 2320,Managerial Finance,,,,University Of Connecticut Undergraduate
Waterbury,CT,University Of Connecticut-Waterbury Campus,BADM 3730,Financial Management,MGMT 2320,Managerial Finance,,,,University Of Connecticut Undergraduate
Augusta,ME,University Of Maine At Augusta,BUA 357,Business Finance,MGMT 2320,Managerial Finance,,,,University Of Maine At Augusta
Durham,NH,University Of New Hampshire-Main Campus,ADMN 570,Introduction To Financial Management,MGMT 2320,Managerial Finance,,,,University Of New Hampshire Undergraduate
Grand Forks,ND,University Of North Dakota-Main Campus,ACCT 201,Elements Of Accounting II,MGMT 2320,Managerial Finance,,,,University Of North Dakota
Saratoga,CA,West Valley College,ACCT 011,Managerial Accounting,MGMT 2320,Managerial Finance,MGMT 2320 (4cr),09/01/2023,09/01/2026,West Valley College
