City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Queensbury,NY,Adirondack Community College,CIS 131,Introduction To Networking,NOT,Transferable Nt,,01/01/2024,01/01/2027,SUNY Adirondack Community College
Queensbury,NY,Adirondack Community College,CIS 143,Introduction To Programming,NOT,Transferable Nt,,01/01/2024,01/01/2027,SUNY Adirondack Community College
Queensbury,NY,Adirondack Community College,HRD 110,First Year Seminar,NOT,Transferable Nt,,01/01/2024,01/01/2027,SUNY Adirondack Community College
Queensbury,NY,Adirondack Community College,MAT 132,Calculus II,NOT,Transferable Nt,,01/01/2024,01/01/2027,SUNY Adirondack Community College
Adrian,MI,Adrian College,MATH205,Calculus & Analytic Geometry II,NOT,Transferable Nt,,,,Adrian College Undergraduate
Albany,NY,Albany College Of Pharmacy And Health Sciences,MAT 211,Calculus II,NOT,Transferable Nt,,,,Albany College Of Pharmacy And Health Sciences
Arnold,MD,Anne Arundel Community College,MAT 192,Calculus And Analytic Geometry 2,NOT,Transferable Nt,,,,Anne Arundel Community College
Bakersfield,CA,Bakersfield College,MATH 6C,Calculus III,NOT,Transferable Nt,,,,Bakersfield College
Berea,OH,Baldwin Wallace University,MTH 142,Calculus II,NOT,Transferable Nt,,,,Baldwin Wallace University
Lewiston,ME,Bates College,MATH 106,Calculus II,NOT,Transferable Nt,,,,Bates College
Waltham,MA,Bentley University,FDS 100,Falcon Discovery Seminar,NOT,Transferable Nt,,01/01/2024,01/01/2027,Bentley University Undergraduate
Cleveland,OH,Case Western Reserve University,ECSE 216,Fundamental System Concepts,NOT,Transferable Nt,,01/01/2022,01/01/2027,Case Western Reserve University
Bronx,NY,Cuny Bronx Community College,CSN 100,Introduction To Cybersecurity,NOT,Transferable Nt,,01/01/2024,01/01/2027,CUNY Bronx Community College
Long Island City,NY,Cuny Laguardia Community College,CSF101,First Year Seminar For Computer Science,NOT,Transferable Nt,,01/01/2024,01/01/2027,CUNY LaGuardia Community College
