City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Garden City,NY,Adelphi University,PHI212,Ethics And Morality,PHIL 2000,Philosophy Elective,,,,Adelphi University Undergraduate And Graduate Courses
Queensbury,NY,Adirondack Community College,PHI 202,Ethics,PHIL 2000,Philosophy Elective,,,,SUNY Adirondack Community College
Queensbury,NY,Adirondack Community College,PHI 206,Biomedical Ethics,PHIL 2000,Philosophy Elective,,,,SUNY Adirondack Community College
Albany,NY,Albany College Of Pharmacy And Health Sciences,LAS 271,Religion As The Search For Meaning,PHIL 2000,Philosophy Elective,,,,Albany College Of Pharmacy And Health Sciences
Alfred,NY,Alfred University,PHIL 281,Ethics,PHIL 2000,Philosophy Elective,,,,Alfred University
Annandale-On-Hudson,NY,Bard College,SHP 222,The History Of Science Before Newton,PHIL 2000,Philosophy Elective,,,,Bard College
Albion,NY,Bard College - Albion Correctional Facility,SHP 222,The History Of Science Before Newton,PHIL 2000,Philosophy Elective,,,,Bard College
New York,NY,Bard College - Bard Globalization And International Affairs Program,SHP 222,The History Of Science Before Newton,PHIL 2000,Philosophy Elective,,,,Bard College
Newark,NJ,Bard College - Bhsec Newark,SHP 222,The History Of Science Before Newton,PHIL 2000,Philosophy Elective,,,,Bard College
Brooklyn,NY,Bard College - Brooklyn Public Library,SHP 222,The History Of Science Before Newton,PHIL 2000,Philosophy Elective,,,,Bard College
Napanoch,NY,Bard College - Eastern Ny Correctional Facility,SHP 222,The History Of Science Before Newton,PHIL 2000,Philosophy Elective,,,,Bard College
Beacon,NY,Bard College - Fishkill Correctional Facility,SHP 222,The History Of Science Before Newton,PHIL 2000,Philosophy Elective,,,,Bard College
Stormville,NY,Bard College - Green Haven Correctional Facility,SHP 222,The History Of Science Before Newton,PHIL 2000,Philosophy Elective,,,,Bard College
Holyoke,MA,Bard College - Holyoke Microcollege,SHP 222,The History Of Science Before Newton,PHIL 2000,Philosophy Elective,,,,Bard College
Los Angeles,CA,Bard College - Mat Program Ca,SHP 222,The History Of Science Before Newton,PHIL 2000,Philosophy Elective,,,,Bard College
New York,NY,"Bard College - New York Public Library, Countee Cullen Branch",SHP 222,The History Of Science Before Newton,PHIL 2000,Philosophy Elective,,,,Bard College
Bedford Hill,NY,Bard College - Taconic Correctional Facility,SHP 222,The History Of Science Before Newton,PHIL 2000,Philosophy Elective,,,,Bard College
Woodbourne,NY,Bard College - Woodbourne Correctional Facility,SHP 222,The History Of Science Before Newton,PHIL 2000,Philosophy Elective,,,,Bard College
Waltham,MA,Bentley University,PH 253,Theories Of Reality,PHIL 2000,Philosophy Elective,,,,Bentley University Undergraduate
Pittsfield,MA,Berkshire Community College,PHL 209,Ethics,PHIL 2000,Philosophy Elective,,,,Berkshire Community College
Pittsfield,MA,Berkshire Community College,PHL 212,Asian Philosophy,PHIL 2000,Philosophy Elective,,,,Berkshire Community College
Chestnut Hill,MA,Boston College,PL 088,Person And Social Responsibility I,PHIL 2000,Philosophy Elective,,,,Boston College Undergraduate
Chestnut Hill,MA,Boston College,TH 017,Introduction To Christian Theology II,PHIL 2000,Philosophy Elective,,,,Boston College Undergraduate
Fort Lauderdale,FL,Broward College,REL2300,World Religions,PHIL 2000,Philosophy Elective,,,,Broward College
Newtown,PA,Bucks County Community College,PHIL 111,Ethics,PHIL 2000,Philosophy Elective,,,,Bucks County Community College
Bristol,PA,Bucks County Community College-Lower Bucks Campus,PHIL 111,Ethics,PHIL 2000,Philosophy Elective,,,,Bucks County Community College
Perkasie,PA,Bucks County Community College-Upper Bucks Campus,PHIL 111,Ethics,PHIL 2000,Philosophy Elective,,,,Bucks County Community College
Aptos,CA,Cabrillo College,PHILO-14,Nonwest Philo Trad,PHIL 2000,Philosophy Elective,,,,Cabrillo College Course Descriptions
West Barnstable,MA,Cape Cod Community College,PHI201,Existentialism,PHIL 2000,Philosophy Elective,,,,Cape Cod Community College
Auburn,NY,Cayuga Community College,PHIL 203,World Religions,PHIL 2000,Philosophy Elective,,,,Cayuga Community College
San Francisco,CA,City College Of San Francisco,PHIL 12A,Symbolic Logic,PHIL 2000,Philosophy Elective,,,,City College Of San Francisco
Claremont,CA,Claremont Mckenna College,RLST 120,The Life Of Jesus,PHIL 2000,Philosophy Elective,,,,Claremont McKenna College
Atlanta,GA,Clark Atlanta University,CPHI 231,Ethics And Human Values,PHIL 2000,Philosophy Elective,,,,Clark Atlanta University Undergraduate
Clemson,SC,Clemson University,PHIL 3260,Science And Values,PHIL 2000,Philosophy Elective,PHIL 2000 (3 cr),01/01/2024,01/01/2027,Clemson University Undergraduate
Waterville,ME,Colby College,EA276,Zen And The Arts In Asia,PHIL 2000,Philosophy Elective,PHIL 2000 (4cr),05/01/2023,05/01/2026,Colby College
Waterville,ME,Colby College,HI 181,Conceptions Of Jews And Judaism,PHIL 2000,Philosophy Elective,,,,Colby College
Waterville,ME,Colby College,HI 182,Jews And Judaism In The Modern World,PHIL 2000,Philosophy Elective,,,,Colby College
Waterville,ME,Colby College,PL274,Philosophy Of Religion,PHIL 2000,Philosophy Elective,,,,Colby College
Williamsburg,VA,College Of William And Mary,PHIL 230,Philosophy Across Cultures,PHIL 2000,Philosophy Elective,,,,College Of William And Mary Undergraduate
Wooster,OH,College Of Wooster,RELS 10000,Religious Thought & Action,PHIL 2000,Philosophy Elective,,,,College Of Wooster
Montpelier,VT,Community College Of Vermont,PHI 1040,Introduction To Ethics,PHIL 2000,Philosophy Elective,PHIL 2000 (3cr),05/01/2023,05/01/2026,Community College Of Vermont
Bridgeport,CT,Connecticut State Community College Housatonic Campus,PHL* E111,Ethics,PHIL 2000,Philosophy Elective,,,,Housatonic Community College
Norwich,CT,Connecticut State Community College Three Rivers Campus,PHL* K111,Ethics,PHIL 2000,Philosophy Elective,,,,Three Rivers Community College
