City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Galesburg,IL,Knox College,PHYS 313,Classical Electromagnetism,PHYS 4000,Physics Elective,,,,Knox College
Fredonia,NY,Suny At Fredonia,PHYS 425,Mathematical Physics I,PHYS 4000,Physics Elective,,,,SUNY Fredonia General
Oneonta,NY,Suny College At Oneonta,PHYS 318,Intro To Solid State Physics,PHYS 4000,Physics Elective,,,,SUNY Oneonta Undergraduate
Oneonta,NY,Suny College At Oneonta,PHYS 320,Thermodynamics And Heat Transfer,PHYS 4000,Physics Elective,,,,SUNY Oneonta Undergraduate
Oneonta,NY,Suny College At Oneonta,PHYS 333,Intermediate Electricity And Magnetism I,PHYS 4000,Physics Elective,,,,SUNY Oneonta Undergraduate
Oneonta,NY,Suny College At Oneonta,PHYS 335,Electronics/Circuits I,PHYS 4000,Physics Elective,,,,SUNY Oneonta Undergraduate
Plattsburgh,NY,Suny College At Plattsburgh,PHY 421,Fundamentals Of Electromagnetism,PHYS 4000,Physics Elective,,,,SUNY College At Plattsburgh Undergraduate And Graduate
Plattsburgh,NY,Suny College At Plattsburgh,PHY 452,Quantum Mechanics,PHYS 4000,Physics Elective,,,,SUNY College At Plattsburgh Undergraduate And Graduate
Cortland,NY,Suny Cortland,PHY 576,Physics Of Renewable Energy Technologies,PHYS 4000,Physics Elective,,,,SUNY Cortland Undergraduate
Cortland,NY,Suny Cortland,PHY 440 + PHY 576,Electronics + Physics Of Renewable Energy Technologies,PHYS 4000,Physics Elective,,,,SUNY Cortland Undergraduate
London, ,University College London,PHAS2423,Mathematical Methods For Theoretical Physics,PHYS 4000,Physics Elective,,,,University College London Study Abroad Guide
Portland,ME,University Of Southern Maine,PHY 341,Quantum Mechanics,PHYS 4000,Physics Elective,,,,University Of Southern Maine Undergraduate
