City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Glendora,CA,Citrus College,PSY 225,Psychology Of Human Sexuality,PSYC 4340,Human Sexuality,,,,Citrus College
Potsdam,NY,Clarkson University,PY 310,Human Sexuality,PSYC 4340,Human Sexuality,,,,Clarkson University Course Descriptions
Schenectady,NY,Clarkson University Capital Region Campus,PY 310,Human Sexuality,PSYC 4340,Human Sexuality,,,,Clarkson University Course Descriptions
Bloomington,IN,Indiana University-Bloomington,SPH-F 255,Human Sexuality,PSYC 4340,Human Sexuality,,,,Indiana University School Of Public Heath
North Adams,MA,Massachusetts College Of Liberal Arts,PSYC 355,Human Sexuality,PSYC 4340,Human Sexuality,,,,Massachusetts College Of Liberal Arts
Oceanside,CA,Miracosta College,PSYC 115,Human Sexuality,PSYC 4340,Human Sexuality,,,,MiraCosta College
Rochester,NY,Roberts Wesleyan College,SOC 202,Human Sexuality,PSYC 4340,Human Sexuality,,,,Roberts Wesleyan College Undergraduate
Potsdam,NY,Suny College At Potsdam,ANTP 150,Human Sexuality I,PSYC 4340,Human Sexuality,,,,SUNY Potsdam Undergraduate
Detroit,MI,University Of Detroit Mercy,PYC 2750,Human Sexuality,PSYC 4340,Human Sexuality,,,,University Of Detroit Mercy Undergraduate
Champaign,IL,University Of Illinois At Urbana - Champaign,CHLH 206,Human Sexuality,PSYC 4340,Human Sexuality,,,,University Of Illinois At Urbana-Champaign
Burlington,VT,University Of Vermont And State Agricultural College,HDFS 065,Human Relationships&Sexuality,PSYC 4340,Human Sexuality,,,,University Of Vermont Undergraduate
Seattle,WA,University Of Washington,PSYCH 210,The Diversity Of Human Sexuality,PSYC 4340,Human Sexuality,,,,University Of Washington Course Descriptions
Madison,WI,University Of Wisconsin-Madison,PSYCH 453,Human Sexuality,PSYC 4340,Human Sexuality,,,,University Of Wisconsin Madison Course Descriptions
