City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Queensbury,NY,Adirondack Community College,ANT 201,Native American Prehistory/Culture,STSO 2000,Science And Technology Studies Elective,,,,SUNY Adirondack Community College
Queensbury,NY,Adirondack Community College,ANT 204,Archaeology Field School,STSO 2000,Science And Technology Studies Elective,,,,SUNY Adirondack Community College
Queensbury,NY,Adirondack Community College,ANT 205,Archaeology Of Ancient Civilizations,STSO 2000,Science And Technology Studies Elective,,,,SUNY Adirondack Community College
Queensbury,NY,Adirondack Community College,ANT 220,"Magic, Religion And Witchcraft",STSO 2000,Science And Technology Studies Elective,,,,SUNY Adirondack Community College
Queensbury,NY,Adirondack Community College,ANT 225,"Race, Class, Gender And Ethnicity",STSO 2000,Science And Technology Studies Elective,,,,SUNY Adirondack Community College
Queensbury,NY,Adirondack Community College,HIS 103 + HIS 104,The United States To 1877 + The United States Since 1877,STSO 2000 + STSO 2500,Science And Technology Studies Elective + American History,,,,SUNY Adirondack Community College
Queensbury,NY,Adirondack Community College,HIS 222,Germany And The First World War,STSO 2000,Science And Technology Studies Elective,,,,SUNY Adirondack Community College
Queensbury,NY,Adirondack Community College,HIS 223,Hitler And The Rise And Fall Of Nazi Germany,STSO 2000,Science And Technology Studies Elective,,,,SUNY Adirondack Community College
Queensbury,NY,Adirondack Community College,HIS 225,American Revolution 1763-1789,STSO 2000,Science And Technology Studies Elective,,,,SUNY Adirondack Community College
Queensbury,NY,Adirondack Community College,HIS 226,The Civil War And Reconstruction: 1850-1877,STSO 2000,Science And Technology Studies Elective,,,,SUNY Adirondack Community College
Queensbury,NY,Adirondack Community College,PSC 215,American Constitutional Law,STSO 2000,Science And Technology Studies Elective,,,,SUNY Adirondack Community College
Adrian,MI,Adrian College,MLCJ215,Japanese Film,STSO 2000,Science And Technology Studies Elective,,,,Adrian College Undergraduate
Albany,NY,Albany College Of Pharmacy And Health Sciences,HUM 201,The Contemporary World,STSO 2000,Science And Technology Studies Elective,,,,Albany College Of Pharmacy And Health Sciences
Reading,PA,Albright College,HIS 266,Nineteenth-Century Europe,STSO 2000,Science And Technology Studies Elective,,,,Albright College
Reading,PA,Albright College,HIS 373,The Holocaust,STSO 2000,Science And Technology Studies Elective,,,,Albright College
Charles Town,WV,American Public University System,HIST101,American History To 1877,STSO 2000,Science And Technology Studies Elective,,,,American Public University System Undergraduate
Sacramento,CA,American River College,ANTH 330,"Magic, Witchcraft, And Religion",STSO 2000,Science And Technology Studies Elective,,,,American River College
Washington,DC,American University,ANTH-250,Human Origins Fa5,STSO 2000,Science And Technology Studies Elective,,,,American University
