City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Alfred,NY,Alfred University,WGST 201 + WGST 475,Gender And Leadership + Women's Leadership Academy Practicum,STSO 4000,Science And Technology Studies Elective,,,,Alfred University
Mcpherson,KS,Central Christian College Of Kansas,SS-SO 381-G,Marriage And Family,STSO 4000,Science And Technology Studies Elective,,,,Central Christian College Of Kansas
Potsdam,NY,Clarkson University,EV 240,Environmental Science & Policy Of American Rivers,STSO 4000,Science And Technology Studies Elective,,,,Clarkson University Course Descriptions
Potsdam,NY,Clarkson University,HIST 392,"Special Topics:Freedom From Fear: Depression And War, 1929-1945",STSO 4000,Science And Technology Studies Elective,,,,Clarkson University Course Descriptions
Potsdam,NY,Clarkson University,UNIV 399,Global Experience,STSO 4000,Science And Technology Studies Elective,,,,Clarkson University Course Descriptions
Schenectady,NY,Clarkson University Capital Region Campus,EV 240,Environmental Science & Policy Of American Rivers,STSO 4000,Science And Technology Studies Elective,,,,Clarkson University Course Descriptions
Schenectady,NY,Clarkson University Capital Region Campus,HIST 392,"Special Topics:Freedom From Fear: Depression And War, 1929-1945",STSO 4000,Science And Technology Studies Elective,,,,Clarkson University Course Descriptions
Schenectady,NY,Clarkson University Capital Region Campus,UNIV 399,Global Experience,STSO 4000,Science And Technology Studies Elective,,,,Clarkson University Course Descriptions
Saint Joseph,MN,College Of Saint Benedict,SOCI 342,Self And Society,STSO 4000,Science And Technology Studies Elective,,,,College Of Saint Benedict - St John'S University
Williamsburg,VA,College Of William And Mary,GOVT 312,Politics Of Developing Countries,STSO 4000,Science And Technology Studies Elective,,,,College Of William And Mary Undergraduate
Williamsburg,VA,College Of William And Mary,GOVT 326,International Law,STSO 4000,Science And Technology Studies Elective,,,,College Of William And Mary Undergraduate
Williamsburg,VA,College Of William And Mary,GOVT 328,International Political Economy,STSO 4000,Science And Technology Studies Elective,,,,College Of William And Mary Undergraduate
Williamsburg,VA,College Of William And Mary,GOVT 391,Topics In Government,STSO 4000,Science And Technology Studies Elective,,,,College Of William And Mary Undergraduate
