City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Queensbury,NY,Adirondack Community College,ENG 105,Writing In And About The Social Sciences,WRIT 2000,Writing Elective,,,,SUNY Adirondack Community College
Queensbury,NY,Adirondack Community College,ENG 108,Writing In And About Literature,WRIT 2000,Writing Elective,,,,SUNY Adirondack Community College
Queensbury,NY,Adirondack Community College,ENG 109,Elements Of Creative Writing,WRIT 2000,Writing Elective,,,,SUNY Adirondack Community College
Queensbury,NY,Adirondack Community College,ENG 110,Elements Of Technical Writing,WRIT 2000,Writing Elective,,,,SUNY Adirondack Community College
Queensbury,NY,Adirondack Community College,ENG 240,Journal Writing,WRIT 2000,Writing Elective,,,,SUNY Adirondack Community College
Queensbury,NY,Adirondack Community College,ENG 263,Tutor Training: Theory And Practice,WRIT 2000,Writing Elective,,,,SUNY Adirondack Community College
Charles Town,WV,American Public University System,ENGL225,Business Writing,WRIT 2000,Writing Elective,,,,American Public University System Undergraduate
Sacramento,CA,American River College,ENGWR 300,College Composition,WRIT 2000,Writing Elective,This course will transfer 3 credits to RPI.,01/01/2024,01/01/2027,American River College
Sacramento,CA,American River College,ENGWR 302,Advanced Composition And Critical Thinking,WRIT 2000,Writing Elective,,,,American River College
Bellevue,WA,Bellevue College,ENGL 201,The Research Paper,WRIT 2000,Writing Elective,,,,Bellevue College
Bellevue,WA,Bellevue College,ENGL 235,Writing Fiction III,WRIT 2000,Writing Elective,,,,Bellevue Community College
Bellevue,WA,Bellevue College,ENGL 270,Professional Report Writing,WRIT 2000,Writing Elective,,,,Bellevue Community College
Waltham,MA,Bentley University,EXP 201,Expository Writing II: Advanced Inquiry In Writing,WRIT 2000,Writing Elective,,,,Bentley University Undergraduate
White Plains,NY,Berkeley College - Westchester Campus,ENG2205,Writing Through Literature,WRIT 2000,Writing Elective,WRIT 2000 (3cr),05/01/2023,05/01/2026,Berkeley College Undergraduate
New York,NY,Berkeley College-New York,ENG2205,Writing Through Literature,WRIT 2000,Writing Elective,WRIT 2000 (3cr),05/01/2023,05/01/2026,Berkeley College Undergraduate
Woodland Park,NJ,Berkeley College-Woodland Park,ENG2205,Writing Through Literature,WRIT 2000,Writing Elective,WRIT 2000 (3cr),05/01/2023,05/01/2026,Berkeley College Undergraduate
Pittsfield,MA,Berkshire Community College,ENG 116,Technical Writing,WRIT 2000,Writing Elective,,,,Berkshire Community College
Pittsfield,MA,Berkshire Community College,ENG-243,Creative Writing,WRIT 2000,Writing Elective,,,,Berkshire Community College
Pittsfield,MA,Berkshire Community College,ENG-260,Introduction To Journalism,WRIT 2000,Writing Elective,,,,Berkshire Community College
Birmingham,AL,Birmingham Southern College,EH 208,Intermediate Writing,WRIT 2000,Writing Elective,,,,Birmingham Southern College
Bowling Green,OH,Bowling Green State University-Main Campus,ENG 209,Creative Writing Workshop,WRIT 2000,Writing Elective,,,,Bowling Green State University Course Descriptions
Lincroft,NJ,Brookdale Community College,ENGL155,The Short Story,WRIT 2000,Writing Elective,,,,Brookdale Community College
Newtown,PA,Bucks County Community College,INTG285,Integration Of Knowledge,WRIT 2000,Writing Elective,,,,Bucks County Community College
Bristol,PA,Bucks County Community College-Lower Bucks Campus,INTG285,Integration Of Knowledge,WRIT 2000,Writing Elective,,,,Bucks County Community College
Perkasie,PA,Bucks County Community College-Upper Bucks Campus,INTG285,Integration Of Knowledge,WRIT 2000,Writing Elective,,,,Bucks County Community College
Boston,MA,Bunker Hill Community College,ENG-241,Journalism I,WRIT 2000,Writing Elective,,,,Bunker Hill Community College
Auburn,NY,Cayuga Community College,ENGL 270,Technical Writing,WRIT 2000,Writing Elective,,,,Cayuga Community College
Chandler,AZ,Chandler-Gilbert Community College,ENG 200,Reading And Writing About Literature,WRIT 2000,Writing Elective,,,,Maricopa County Community College District Course Descriptions
Hamilton,NY,Colgate University,WRIT 203,Argumentation,WRIT 2000,Writing Elective,,,,Colgate University
Hudson,NY,Columbia-Greene Community College,EN 211,Creative Writing,WRIT 2000,Writing Elective,,,,Columbia-Greene Community College
Waterbury,CT,Connecticut State Community College Naugatuck Campus,ENG* H200,Advanced Composition,WRIT 2000,Writing Elective,,,,Naugatuck Valley Community College
Waterbury,CT,Connecticut State Community College Naugatuck Campus,ENG* H202,Technical Writing,WRIT 2000,Writing Elective,,,,Naugatuck Valley Community College
Norwich,CT,Connecticut State Community College Three Rivers Campus,ENG* K202,Technical Writing,WRIT 2000,Writing Elective,,,,Three Rivers Community College
Ithaca,NY,Cornell University-Endowed Colleges,COMM 263,Organizational Writing,WRIT 2000,Writing Elective,,,,Cornell University
Corning,NY,Corning Community College,EN 248,Creative Writing—Fiction And Drama,WRIT 2000,Writing Elective,,,,Corning Community College
Neosho,MO,Crowder College,ENGL 203,Technical Report Writing,WRIT 2000,Writing Elective,,,,Crowder College
Bronx,NY,Cuny Bronx Community College,ENG 21,Introduction To Creative Writing,WRIT 2000,Writing Elective,,,,CUNY Bronx Community College
Bronx,NY,Cuny Bronx Community College,ENG 23,Scientific And Technical Writing,WRIT 2000,Writing Elective,,,,CUNY Bronx Community College
Bronx,NY,Cuny Bronx Community College,ENG 223,Technical Writing,WRIT 2000,Writing Elective,,,,CUNY Bronx Community College
Brooklyn,NY,Cuny Brooklyn College,ENGL 1012,English Composition II: Seminar In Expository Writing,WRIT 2000,Writing Elective,,,,CUNY Brooklyn College Undergraduate
New York,NY,Cuny City College,ENGL 21003,Writing For The Sciences,WRIT 2000,Writing Elective,,,,CUNY City College
New York,NY,Cuny City College,ENGL 21007,Writing For Engineering,WRIT 2000,Writing Elective,,,,CUNY City College
New York,NY,Cuny City College,ENGL 32000,Selected Topics In Language And Literature,WRIT 2000,Writing Elective,,,,CUNY City College
New York,NY,Cuny City College,ENGL 34200,Advanced Grammar,WRIT 2000,Writing Elective,,,,CUNY City College
Long Island City,NY,Cuny Laguardia Community College,ENG103,The Research Paper,WRIT 2000,Writing Elective,,,,CUNY LaGuardia Community College
Long Island City,NY,Cuny Laguardia Community College,ENG259,Composition II: Technical Writing,WRIT 2000,Writing Elective,,,,CUNY LaGuardia Community College
