City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Queensbury,NY,Adirondack Community College,CIS 131,Introduction To Networking,XXXX,Not Transferrable,,01/01/2024,01/01/2027,SUNY Adirondack Community College
Queensbury,NY,Adirondack Community College,CIS 143,Introduction To Programming,XXXX,Not Transferrable,,01/01/2024,01/01/2027,SUNY Adirondack Community College
Queensbury,NY,Adirondack Community College,HRD 110,First Year Seminar,XXXX,Not Transferrable,,01/01/2024,01/01/2027,SUNY Adirondack Community College
Queensbury,NY,Adirondack Community College,MAT 132,Calculus II,XXXX,Not Transferrable,,01/01/2024,01/01/2027,SUNY Adirondack Community College
Waltham,MA,Bentley University,FDS 100,Falcon Discovery Seminar,XXXX,Not Transferrable,,01/01/2024,01/01/2027,Bentley University Undergraduate
Cleveland,OH,Case Western Reserve University,ECSE 216,Fundamental System Concepts,XXXX,Not Transferrable,,01/01/2022,01/01/2027,Case Western Reserve University
Bronx,NY,Cuny Bronx Community College,CSN 100,Introduction To Cybersecurity,XXXX,Not Transferrable,,01/01/2024,01/01/2027,CUNY Bronx Community College
Long Island City,NY,Cuny Laguardia Community College,CSF101,First Year Seminar For Computer Science,XXXX,Not Transferrable,,01/01/2024,01/01/2027,CUNY LaGuardia Community College
Long Island City,NY,Cuny Laguardia Community College,ELN101,Introduction To Bilingualism,XXXX,Not Transferrable,,01/01/2024,01/01/2027,CUNY LaGuardia Community College
Brooklyn,NY,Cuny New York City College Of Technology,IND 1112,Engineering Drawing I,XXXX,Not Transferrable,,01/01/2022,01/01/2027,CUNY New York City College Of Technology Fall
Queens,NY,Cuny Queens College,ANTH 102,Introduction To Human Evolution,XXXX,Not Transferrable,,01/01/2024,01/01/2027,CUNY Queens College Undergraduate
Granville,OH,Denison University,AC 101,Advising Circles,XXXX,Not Transferrable,,01/01/2024,01/01/2027,Denison University
Granville,OH,Denison University,CS 111,Discovering Computer Science: Scientific Data And Dynamics,XXXX,Not Transferrable,,01/01/2024,01/01/2027,Denison University
Granville,OH,Denison University,CS 119,Seminar: Programming Problems,XXXX,Not Transferrable,,01/01/2024,01/01/2027,Denison University
Granville,OH,Denison University,CS 181,Data Systems,XXXX,Not Transferrable,,01/01/2024,01/01/2027,Denison University
Granville,OH,Denison University,MATH 130,Essentials Of Calculus,XXXX,Not Transferrable,,01/01/2024,01/01/2027,Denison University
Saint Petersburg,FL,Eckerd College,MA 132M,Calculus II,XXXX,Not Transferrable,,01/01/2024,01/01/2027,Eckerd College
Herkimer,NY,Herkimer County Community College,MA 141,Pre Calculus Math,XXXX,Not Transferrable,,01/01/2024,01/01/2027,Herkimer County Community College
Holyoke,MA,Holyoke Community College,COM 214,Social Media: More Than Just Friends,XXXX,Not Transferrable,,01/01/2024,01/01/2027,Holyoke Community College
Holyoke,MA,Holyoke Community College,CSI 111,Computer Concepts With Applications,XXXX,Not Transferrable,,01/01/2024,01/01/2027,Holyoke Community College
Holyoke,MA,Holyoke Community College,MTH 011,Developmental Math I,XXXX,Not Transferrable,,01/01/2024,01/01/2027,Holyoke Community College
Holyoke,MA,Holyoke Community College,MTH 012,Developmental Math II,XXXX,Not Transferrable,,01/01/2024,01/01/2027,Holyoke Community College
Holyoke,MA,Holyoke Community College,MTH 013,Developmental Math III,XXXX,Not Transferrable,,01/01/2024,01/01/2027,Holyoke Community College
Holyoke,MA,Holyoke Community College,MTH 014,Developmental Math IV,XXXX,Not Transferrable,,01/01/2024,01/01/2027,Holyoke Community College
Holyoke,MA,Holyoke Community College,MTH 104,College Algebra,XXXX,Not Transferrable,,01/01/2024,01/01/2027,Holyoke Community College
Holyoke,MA,Holyoke Community College,MTH 108,Precalculus,XXXX,Not Transferrable,,01/01/2024,01/01/2027,Holyoke Community College
Holyoke,MA,Holyoke Community College,MTH 114,Calculus II,XXXX,Not Transferrable,,01/01/2024,01/01/2027,Holyoke Community College
Holyoke,MA,Holyoke Community College,SSN 120,Conflict Resolution And Mediation,XXXX,Not Transferrable,,01/01/2024,01/01/2027,Holyoke Community College
Troy,NY,Hudson Valley Community College,ELET 100,Electricity I,XXXX,Not Transferrable,,01/01/2024,01/01/2027,Hudson Valley Community College
Troy,NY,Hudson Valley Community College,ELET 120,Personal Computer Hardware Essentials,XXXX,Not Transferrable,No transfer,01/01/2024,01/01/2029,Hudson Valley Community College
Troy,NY,Hudson Valley Community College,ELET 230,Electronic Design,XXXX,Not Transferrable,,01/01/2024,01/01/2029,Hudson Valley Community College
Troy,NY,Hudson Valley Community College,MATH 170,Precalculus,XXXX,Not Transferrable,,01/01/2024,01/01/2027,Hudson Valley Community College
Troy,NY,Hudson Valley Community College,THEA 100,Introduction To The Theatre,XXXX,Not Transferrable,,01/01/2024,01/01/2027,Hudson Valley Community College
Troy,NY,Hudson Valley Community College,THEA 110,Acting I,XXXX,Not Transferrable,,01/01/2024,01/01/2027,Hudson Valley Community College
Troy,NY,Hudson Valley Community College,THEA 170,Introduction To Improvisational Theatre,XXXX,Not Transferrable,,01/01/2024,01/01/2027,Hudson Valley Community College
Milwaukee,WI,Milwaukee School Of Engineering,BE 1005,Introduction To Biomedical Engineering,XXXX,Not Transferrable,,01/01/2024,01/01/2029,Milwaukee School Of Engineering Undergraduate
Milwaukee,WI,Milwaukee School Of Engineering,BE 2200,Matlab Programming For Engineers,XXXX,Not Transferrable,,01/01/2024,01/01/2029,Milwaukee School Of Engineering Undergraduate
Utica,NY,Mohawk Valley Community College-Utica Branch,CF100,College Foundations Seminar,XXXX,Not Transferrable,,01/01/2024,01/01/2027,Mohawk Valley Community College
Utica,NY,Mohawk Valley Community College-Utica Branch,HM100,Medical Terminology For Health Professionals,XXXX,Not Transferrable,,01/01/2024,01/01/2027,Mohawk Valley Community College
Utica,NY,Mohawk Valley Community College-Utica Branch,MA150,Precalculus,XXXX,Not Transferrable,,01/01/2024,01/01/2027,Mohawk Valley Community College
Utica,NY,Mohawk Valley Community College-Utica Branch,PE172,Health And Wellness,XXXX,Not Transferrable,,01/01/2024,01/01/2027,Mohawk Valley Community College
Utica,NY,Mohawk Valley Community College-Utica Branch,PE197,Varsity Golf,XXXX,Not Transferrable,,01/01/2024,01/01/2027,Mohawk Valley Community College
